Time,daily_new_presymptomatic
0,0
0.25,1249
0.5,2449
0.75,3493
1,1017
1.25,1858
1.5,2628
1.75,3361
2,696
2.25,1386
2.5,2091
2.75,2821
3,744
3.25,1561
3.5,2414
3.75,3284
4,909
4.25,1877
4.5,2918
4.75,4065
5,1176
5.25,2343
5.5,3661
5.75,5014
6,1519
6.25,3165
6.5,4812
6.75,6559
7,1880
7.25,3854
7.5,6020
7.75,8277
8,2476
8.25,5197
8.5,7813
8.75,10588
9,2981
9.25,6353
9.5,9671
9.75,13246
10,3798
10.25,7860
10.5,12272
10.75,16895
11,4901
11.25,10053
11.5,15423
11.75,21097
12,6041
12.25,12376
12.5,19222
12.75,26424
13,7541
13.25,15429
13.5,24028
13.75,33092
14,9687
14.25,19971
14.5,30875
14.75,42141
15,12063
15.25,24756
15.5,38125
15.75,52239
16,14694
16.25,30422
16.5,46876
16.75,64427
17,18443
17.25,37695
17.5,58148
17.75,79824
18,22878
18.25,46724
18.5,71907
18.75,98319
19,27734
19.25,56914
19.5,87330
19.75,119574
20,33980
20.25,69243
20.5,106592
20.75,145754
21,41242
21.25,84233
21.5,129512
21.75,176613
22,49700
22.25,101989
22.5,156193
22.75,212914
23,59302
23.25,121095
23.5,185734
23.75,253573
24,70098
24.25,142923
24.5,218843
24.75,298515
25,81818
25.25,167121
25.5,255716
25.75,347906
26,94839
26.25,192540
26.5,294069
26.75,398614
27,108053
27.25,219305
27.5,334277
27.75,452710
28,120799
28.25,244708
28.5,371977
28.75,501532
29,133387
29.25,269050
29.5,406922
29.75,547808
30,143095
30.25,288370
30.5,435669
30.75,584557
31,150605
31.25,302394
31.5,455621
31.75,610076
32,155531
32.25,311312
32.5,466975
32.75,622214
33,155997
33.25,311490
33.5,465475
33.75,619512
34,153327
34.25,305957
34.5,456966
34.75,606238
35,147612
35.25,293110
35.5,436757
35.75,577554
36,138715
36.25,275164
36.5,408151
36.75,539123
37,127669
37.25,252895
37.5,375177
37.75,493938
38,116221
38.25,229195
38.5,339051
38.75,446224
39,104219
39.25,204935
39.5,302327
39.75,397183
40,91488
40.25,180246
40.5,265199
40.75,348137
41,79713
41.25,156680
41.5,230631
41.75,302364
42,68430
42.25,134505
42.5,198302
42.75,259718
43,58911
43.25,116013
43.5,170454
43.75,223015
44,50010
44.25,98360
44.5,144299
44.75,188972
45,42708
45.25,83421
45.5,122638
45.75,160286
46,35608
46.25,69538
46.5,102365
46.75,133636
47,30018
47.25,58724
47.5,86293
47.75,112470
48,25559
48.25,49411
48.5,72268
48.75,94383
49,21269
49.25,41466
49.5,60909
49.75,79390
50,17928
50.25,34671
50.5,50857
50.75,66415
51,14759
51.25,28887
51.5,42395
51.75,55290
52,12458
52.25,24190
52.5,35553
52.75,46463
53,10363
53.25,20370
53.5,29696
53.75,38798
54,8909
54.25,17182
54.5,25059
54.75,32734
55,7358
55.25,14359
55.5,20897
55.75,27387
56,6188
56.25,12192
56.5,17868
56.75,23370
57,5212
57.25,10136
57.5,15037
57.75,19604
58,4294
58.25,8509
58.5,12511
58.75,16324
59,3693
59.25,7221
59.5,10673
59.75,13943
60,3210
60.25,6277
60.5,9206
60.75,11896
61,2672
61.25,5210
61.5,7653
61.75,10021
62,2276
62.25,4454
62.5,6561
62.75,8568
63,1854
63.25,3686
63.5,5457
63.75,7156
64,1582
64.25,3198
64.5,4697
64.75,6122
65,1319
65.25,2629
65.5,3931
65.75,5115
66,1160
66.25,2279
66.5,3345
66.75,4379
67,931
67.25,1914
67.5,2870
67.75,3784
68,845
68.25,1661
68.5,2492
68.75,3231
69,769
69.25,1464
69.5,2129
69.75,2787
70,567
70.25,1188
70.5,1741
70.75,2267
71,550
71.25,1070
71.5,1585
71.75,2036
72,454
72.25,879
72.5,1290
72.75,1680
73,384
73.25,738
73.5,1101
73.75,1461
74,329
74.25,625
74.5,899
74.75,1193
75,290
75.25,562
75.5,830
75.75,1069
76,239
76.25,447
76.5,673
76.75,881
77,216
77.25,412
77.5,602
77.75,804
78,182
78.25,352
78.5,515
78.75,671
79,166
79.25,317
79.5,465
79.75,590
80,116
80.25,235
80.5,345
80.75,468
81,95
81.25,184
81.5,291
81.75,398
82,98
82.25,196
82.5,295
82.75,359
83,69
83.25,133
83.5,219
83.75,299
84,71
84.25,146
84.5,217
84.75,274
85,54
85.25,110
85.5,157
85.75,211
86,41
86.25,86
86.5,125
86.75,157
87,30
87.25,67
87.5,99
87.75,141
88,38
88.25,78
88.5,114
88.75,141
89,31
89.25,59
89.5,89
89.75,120
90,25
90.25,47
90.5,63
90.75,86
91,25
91.25,53
91.5,75
91.75,94
92,16
92.25,46
92.5,61
92.75,88
93,21
93.25,34
93.5,41
93.75,61
94,15
94.25,33
94.5,43
94.75,53
95,12
95.25,23
95.5,33
95.75,43
96,11
96.25,21
96.5,30
96.75,44
97,5
97.25,11
97.5,18
97.75,25
98,4
98.25,7
98.5,14
98.75,23
99,11
99.25,18
99.5,24
99.75,29
100,3
100.25,7
100.5,14
100.75,19
101,2
101.25,4
101.5,9
101.75,17
102,7
102.25,14
102.5,18
102.75,21
103,3
103.25,5
103.5,7
103.75,9
104,2
104.25,7
104.5,8
104.75,12
105,2
105.25,6
105.5,8
105.75,9
106,2
106.25,7
106.5,8
106.75,10
107,1
107.25,4
107.5,5
107.75,5
108,1
108.25,2
108.5,2
108.75,3
109,2
109.25,3
109.5,3
109.75,3
110,2
110.25,3
110.5,7
110.75,10
111,3
111.25,4
111.5,7
111.75,9
112,4
112.25,4
112.5,4
112.75,7
113,0
113.25,0
113.5,0
113.75,0
114,0
114.25,0
114.5,1
114.75,1
115,1
115.25,3
115.5,3
115.75,3
116,0
116.25,0
116.5,0
116.75,0
117,0
117.25,0
117.5,0
117.75,0
118,0
118.25,1
118.5,2
118.75,2
119,0
119.25,0
119.5,1
119.75,2
