Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0.23625
1,0.282862
1.25,0.303507
1.5,0.320476
1.75,0.333816
2,0.344412
2.25,0.354545
2.5,0.371033
2.75,0.380232
3,0.390266
3.25,0.400187
3.5,0.408625
3.75,0.418718
4,0.425903
4.25,0.433205
4.5,0.438849
4.75,0.446245
5,0.451248
5.25,0.45767
5.5,0.462642
5.75,0.466851
6,0.472309
6.25,0.476053
6.5,0.479527
6.75,0.482956
7,0.486284
7.25,0.490234
7.5,0.493019
7.75,0.49507
8,0.497968
8.25,0.501034
8.5,0.504273
8.75,0.506947
9,0.509741
9.25,0.512345
9.5,0.514395
9.75,0.516325
10,0.518053
10.25,0.519749
10.5,0.520957
10.75,0.521661
11,0.522151
11.25,0.522917
11.5,0.524041
11.75,0.524848
12,0.524543
12.25,0.524974
12.5,0.525209
12.75,0.525468
13,0.525637
13.25,0.525651
13.5,0.525518
13.75,0.525582
14,0.525546
14.25,0.52518
14.5,0.525082
14.75,0.524907
15,0.524858
15.25,0.524558
15.5,0.524163
15.75,0.523837
16,0.523177
16.25,0.522657
16.5,0.522163
16.75,0.521735
17,0.521546
17.25,0.521257
17.5,0.520886
17.75,0.520733
18,0.519941
18.25,0.519413
18.5,0.518817
18.75,0.518183
19,0.517565
19.25,0.516886
19.5,0.516319
19.75,0.515872
20,0.515132
20.25,0.514492
20.5,0.513788
20.75,0.513215
21,0.512692
21.25,0.511938
21.5,0.511323
21.75,0.510763
22,0.509977
22.25,0.509293
22.5,0.508625
22.75,0.507882
23,0.507129
23.25,0.506345
23.5,0.505573
23.75,0.504795
24,0.504094
24.25,0.503371
24.5,0.502524
24.75,0.50169
25,0.500798
25.25,0.499952
25.5,0.499048
25.75,0.498168
26,0.497206
26.25,0.496225
26.5,0.495205
26.75,0.494228
27,0.49315
27.25,0.492154
27.5,0.491024
27.75,0.489934
28,0.488795
28.25,0.487576
28.5,0.4864
28.75,0.485158
29,0.483911
29.25,0.482653
29.5,0.481382
29.75,0.48005
30,0.478686
30.25,0.477319
30.5,0.475964
30.75,0.474552
31,0.473145
31.25,0.471675
31.5,0.470212
31.75,0.468736
32,0.467236
32.25,0.46572
32.5,0.464148
32.75,0.462593
33,0.461059
33.25,0.459545
33.5,0.458014
33.75,0.456464
34,0.454926
34.25,0.453396
34.5,0.451893
34.75,0.450372
35,0.448893
35.25,0.447417
35.5,0.445967
35.75,0.444529
36,0.443125
36.25,0.441718
36.5,0.440375
36.75,0.439054
37,0.437769
37.25,0.436506
37.5,0.435278
37.75,0.434072
38,0.432901
38.25,0.431773
38.5,0.43067
38.75,0.429617
39,0.428594
39.25,0.427599
39.5,0.426617
39.75,0.425667
40,0.424779
40.25,0.423901
40.5,0.423047
40.75,0.422217
41,0.421426
41.25,0.420665
41.5,0.419938
41.75,0.41923
42,0.418565
42.25,0.417923
42.5,0.4173
42.75,0.416698
43,0.416122
43.25,0.415571
43.5,0.415034
43.75,0.414526
44,0.414029
44.25,0.413547
44.5,0.413107
44.75,0.412671
45,0.412256
45.25,0.411855
45.5,0.411479
45.75,0.411112
46,0.410761
46.25,0.410423
46.5,0.410103
46.75,0.409795
47,0.4095
47.25,0.409217
47.5,0.408942
47.75,0.408686
48,0.408439
48.25,0.408203
48.5,0.407972
48.75,0.407743
49,0.407529
49.25,0.407323
49.5,0.407119
49.75,0.406932
50,0.406752
50.25,0.406572
50.5,0.406405
50.75,0.406244
51,0.406091
51.25,0.405942
51.5,0.405797
51.75,0.40566
52,0.405525
52.25,0.405397
52.5,0.405275
52.75,0.40516
53,0.405049
53.25,0.404942
53.5,0.404837
53.75,0.404737
54,0.404643
54.25,0.404549
54.5,0.404458
54.75,0.404372
55,0.40429
55.25,0.404213
55.5,0.404134
55.75,0.404062
56,0.40399
56.25,0.403924
56.5,0.403861
56.75,0.403797
57,0.403735
57.25,0.403678
57.5,0.403623
57.75,0.403569
58,0.403517
58.25,0.403468
58.5,0.403422
58.75,0.403376
59,0.403334
59.25,0.403292
59.5,0.403251
59.75,0.403212
60,0.403177
60.25,0.403143
60.5,0.403108
60.75,0.403076
61,0.403043
