Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.101111
1,0.100432
1.25,0.115008
1.5,0.125715
1.75,0.135231
2,0.143347
2.25,0.148737
2.5,0.151464
2.75,0.157391
3,0.160785
3.25,0.164474
3.5,0.167448
3.75,0.170032
4,0.173421
4.25,0.175994
4.5,0.178232
4.75,0.179881
5,0.181553
5.25,0.184286
5.5,0.18628
5.75,0.187825
6,0.189024
6.25,0.18992
6.5,0.190892
6.75,0.191558
7,0.192273
7.25,0.193025
7.5,0.193463
7.75,0.193838
8,0.193558
8.25,0.193818
8.5,0.193277
8.75,0.193362
9,0.193579
9.25,0.193253
9.5,0.193195
9.75,0.192799
10,0.192879
10.25,0.192488
10.5,0.192238
10.75,0.192198
11,0.192034
11.25,0.191549
11.5,0.191265
11.75,0.191026
12,0.190755
12.25,0.190503
12.5,0.190472
12.75,0.190636
13,0.190583
13.25,0.190668
13.5,0.190839
13.75,0.190879
14,0.191092
14.25,0.191322
14.5,0.191486
14.75,0.191863
15,0.192114
15.25,0.192432
15.5,0.192673
15.75,0.192953
16,0.193319
16.25,0.193454
16.5,0.193788
16.75,0.194162
17,0.194471
17.25,0.194635
17.5,0.194932
17.75,0.195188
18,0.195605
18.25,0.195936
18.5,0.196322
18.75,0.196694
19,0.197099
19.25,0.19746
19.5,0.197854
19.75,0.198171
20,0.198684
20.25,0.19915
20.5,0.199689
20.75,0.200107
21,0.200534
21.25,0.201038
21.5,0.201432
21.75,0.201824
22,0.202363
22.25,0.202853
22.5,0.203336
22.75,0.203749
23,0.204226
23.25,0.204691
23.5,0.20512
23.75,0.205626
24,0.206176
24.25,0.206758
24.5,0.207287
24.75,0.207808
25,0.208357
25.25,0.20891
25.5,0.20942
25.75,0.209982
26,0.210562
26.25,0.211178
26.5,0.21177
26.75,0.212381
27,0.212992
27.25,0.213638
27.5,0.214293
27.75,0.214966
28,0.215661
28.25,0.21633
28.5,0.21708
28.75,0.217823
29,0.21858
29.25,0.219384
29.5,0.220181
29.75,0.220949
30,0.221801
30.25,0.222619
30.5,0.223432
30.75,0.224306
31,0.225153
31.25,0.226028
31.5,0.226914
31.75,0.227813
32,0.228733
32.25,0.229646
32.5,0.23061
32.75,0.231558
33,0.232497
33.25,0.233442
33.5,0.234381
33.75,0.235317
34,0.236273
34.25,0.237201
34.5,0.238141
34.75,0.239044
35,0.239971
35.25,0.24086
35.5,0.241755
35.75,0.242632
36,0.243494
36.25,0.244364
36.5,0.245195
36.75,0.246021
37,0.24683
37.25,0.247628
37.5,0.248388
37.75,0.249147
38,0.249901
38.25,0.250614
38.5,0.251316
38.75,0.252005
39,0.252688
39.25,0.253335
39.5,0.253968
39.75,0.254587
40,0.255184
40.25,0.255765
40.5,0.256343
40.75,0.256889
41,0.257429
41.25,0.257939
41.5,0.258419
41.75,0.258906
42,0.259365
42.25,0.259809
42.5,0.260243
42.75,0.260652
43,0.261056
43.25,0.261444
43.5,0.261824
43.75,0.262183
44,0.262548
44.25,0.262899
44.5,0.263215
44.75,0.263527
45,0.263823
45.25,0.264115
45.5,0.264392
45.75,0.264661
46,0.264924
46.25,0.265172
46.5,0.265412
46.75,0.265651
47,0.265869
47.25,0.26608
47.5,0.266293
47.75,0.266486
48,0.26667
48.25,0.26685
48.5,0.267035
48.75,0.267208
49,0.26737
49.25,0.267524
49.5,0.26768
49.75,0.26783
50,0.26797
50.25,0.268113
50.5,0.268246
50.75,0.268373
51,0.268496
51.25,0.268616
51.5,0.268732
51.75,0.268846
52,0.268954
52.25,0.269058
52.5,0.269161
52.75,0.269256
53,0.269349
53.25,0.269437
53.5,0.26952
53.75,0.269601
54,0.26968
54.25,0.269754
54.5,0.269829
54.75,0.269898
55,0.269967
55.25,0.270032
55.5,0.270099
55.75,0.27016
56,0.270223
56.25,0.270277
56.5,0.270328
56.75,0.270382
57,0.270431
57.25,0.270479
57.5,0.270525
57.75,0.270565
58,0.270605
58.25,0.270648
58.5,0.270687
58.75,0.270726
59,0.270761
59.25,0.270795
59.5,0.27083
59.75,0.270863
60,0.270893
60.25,0.270921
60.5,0.27095
60.75,0.270979
61,0.271007
