Time,num_symptomatic
0,0
0.25,0
0.5,429
0.75,977
1,1537
1.25,2096
1.5,2513
1.75,2913
2,3280
2.25,3600
2.5,3887
2.75,4162
3,4388
3.25,4670
3.5,4916
3.75,5197
4,5510
4.25,5828
4.5,6146
4.75,6530
5,6882
5.25,7277
5.5,7651
5.75,8038
6,8506
6.25,8968
6.5,9499
6.75,10051
7,10666
7.25,11202
7.5,11863
7.75,12582
8,13331
8.25,14137
8.5,15046
8.75,15908
9,16878
9.25,17900
9.5,19030
9.75,20065
10,21371
10.25,22571
10.5,23957
10.75,25455
11,26969
11.25,28644
11.5,30269
11.75,32050
12,33941
12.25,36031
12.5,38193
12.75,40569
13,42860
13.25,45468
13.5,48030
13.75,50763
14,53942
14.25,57226
14.5,60576
14.75,64065
15,67972
15.25,71862
15.5,76111
15.75,80452
16,85037
16.25,90001
16.5,95274
16.75,100754
17,106369
17.25,112389
17.5,118968
17.75,125476
18,132613
18.25,140070
18.5,147866
18.75,156236
19,164643
19.25,173812
19.5,183085
19.75,192712
20,203184
20.25,214245
20.5,225469
20.75,237559
21,249808
21.25,262895
21.5,276233
21.75,290395
22,305274
22.25,320754
22.5,337127
22.75,354189
23,371783
23.25,390380
23.5,409427
23.75,429425
24,450609
24.25,471742
24.5,493888
24.75,516757
25,540622
25.25,565067
25.5,590551
25.75,617014
26,644257
26.25,672405
26.5,700434
26.75,729301
27,759177
27.25,789484
27.5,820105
27.75,851937
28,884585
28.25,917388
28.5,950631
28.75,984346
29,1018317
29.25,1052629
29.5,1086695
29.75,1121116
30,1155342
30.25,1189520
30.5,1223782
30.75,1257083
31,1291108
31.25,1324098
31.5,1355994
31.75,1387974
32,1418761
32.25,1449829
32.5,1478973
32.75,1507554
33,1534484
33.25,1559830
33.5,1584998
33.75,1607743
34,1629391
34.25,1650127
34.5,1668866
34.75,1685481
35,1701116
35.25,1715175
35.5,1726496
35.75,1736911
36,1745304
36.25,1752105
36.5,1756692
36.75,1759513
37,1760327
37.25,1758397
37.5,1756116
37.75,1751647
38,1745146
38.25,1738042
38.5,1729074
38.75,1717724
39,1706516
39.25,1692574
39.5,1677671
39.75,1661593
40,1644183
40.25,1625521
40.5,1606281
40.75,1585861
41,1564669
41.25,1541502
41.5,1518643
41.75,1493803
42,1469374
42.25,1444847
42.5,1419599
42.75,1394077
43,1368110
43.25,1341444
43.5,1314719
43.75,1287233
44,1259958
44.25,1233004
44.5,1206257
44.75,1178613
45,1151211
45.25,1124106
45.5,1097638
45.75,1070783
46,1044179
46.25,1017723
46.5,991219
46.75,965667
47,940247
47.25,915200
47.5,890258
47.75,865538
48,840905
48.25,817066
48.5,793497
48.75,770906
49,748101
49.25,726407
49.5,704432
49.75,683086
50,662591
50.25,642263
50.5,622536
50.75,603549
51,584660
51.25,566319
51.5,548480
51.75,530767
52,513750
52.25,497264
52.5,481103
52.75,465419
53,450247
53.25,435603
53.5,421125
53.75,406876
54,392955
54.25,379701
54.5,366831
54.75,354500
55,342453
55.25,330785
55.5,319762
55.75,308682
56,298042
56.25,287710
56.5,277646
56.75,268112
57,258545
57.25,249389
57.5,240569
57.75,232095
58,223829
58.25,215926
58.5,208385
58.75,200871
59,193599
59.25,186824
59.5,179847
59.75,173209
60,166973
60.25,160928
60.5,155118
60.75,149414
61,143776
61.25,138640
61.5,133717
61.75,128794
62,124240
62.25,119791
62.5,115483
62.75,111337
63,107328
63.25,103437
63.5,99525
63.75,95990
64,92435
64.25,89122
64.5,85871
64.75,82656
65,79677
65.25,76770
65.5,73945
65.75,71211
66,68503
66.25,65940
66.5,63386
66.75,60888
67,58590
67.25,56438
67.5,54308
67.75,52337
68,50258
68.25,48367
68.5,46678
68.75,45077
69,43343
69.25,41734
69.5,40112
69.75,38620
70,37152
70.25,35726
70.5,34355
70.75,33113
71,31790
71.25,30652
71.5,29554
71.75,28465
72,27365
72.25,26308
72.5,25336
72.75,24364
73,23478
73.25,22601
73.5,21674
73.75,20859
74,20074
74.25,19332
74.5,18603
74.75,17867
75,17186
75.25,16517
75.5,15863
75.75,15245
76,14683
76.25,14095
76.5,13570
76.75,13049
77,12571
77.25,12090
77.5,11691
