Time,cumulative_new_recovered
0,0
0.25,0
0.5,0
0.75,0
1,561
1.25,561
1.5,561
1.75,561
2,2153
2.25,2153
2.5,2153
2.75,2153
3,3863
3.25,3863
3.5,3863
3.75,3863
4,5795
4.25,5795
4.5,5795
4.75,5795
5,8083
5.25,8083
5.5,8083
5.75,8083
6,11013
6.25,11013
6.5,11013
6.75,11013
7,14683
7.25,14683
7.5,14683
7.75,14683
8,19303
8.25,19303
8.5,19303
8.75,19303
9,25358
9.25,25358
9.5,25358
9.75,25358
10,32668
10.25,32668
10.5,32668
10.75,32668
11,42041
11.25,42041
11.5,42041
11.75,42041
12,54073
12.25,54073
12.5,54073
12.75,54073
13,68650
13.25,68650
13.5,68650
13.75,68650
14,87442
14.25,87442
14.5,87442
14.75,87442
15,111112
15.25,111112
15.5,111112
15.75,111112
16,140925
16.25,140925
16.5,140925
16.75,140925
17,177612
17.25,177612
17.5,177612
17.75,177612
18,223488
18.25,223488
18.5,223488
18.75,223488
19,280235
19.25,280235
19.5,280235
19.75,280235
20,350145
20.25,350145
20.5,350145
20.75,350145
21,435557
21.25,435557
21.5,435557
21.75,435557
22,540738
22.25,540738
22.5,540738
22.75,540738
23,667971
23.25,667971
23.5,667971
23.75,667971
24,821001
24.25,821001
24.5,821001
24.75,821001
25,1003981
25.25,1003981
25.5,1003981
25.75,1003981
26,1221359
26.25,1221359
26.5,1221359
26.75,1221359
27,1476173
27.25,1476173
27.5,1476173
27.75,1476173
28,1771677
28.25,1771677
28.5,1771677
28.75,1771677
29,2109404
29.25,2109404
29.5,2109404
29.75,2109404
30,2489280
30.25,2489280
30.5,2489280
30.75,2489280
31,2910660
31.25,2910660
31.5,2910660
31.75,2910660
32,3368418
32.25,3368418
32.5,3368418
32.75,3368418
33,3857558
33.25,3857558
33.5,3857558
33.75,3857558
34,4370163
34.25,4370163
34.5,4370163
34.75,4370163
35,4897221
35.25,4897221
35.5,4897221
35.75,4897221
36,5430889
36.25,5430889
36.5,5430889
36.75,5430889
37,5960733
37.25,5960733
37.5,5960733
37.75,5960733
38,6479680
38.25,6479680
38.5,6479680
38.75,6479680
39,6979041
39.25,6979041
39.5,6979041
39.75,6979041
40,7453759
40.25,7453759
40.5,7453759
40.75,7453759
41,7899950
41.25,7899950
41.5,7899950
41.75,7899950
42,8316633
42.25,8316633
42.5,8316633
42.75,8316633
43,8697486
43.25,8697486
43.5,8697486
43.75,8697486
44,9047420
44.25,9047420
44.5,9047420
44.75,9047420
45,9363890
45.25,9363890
45.5,9363890
45.75,9363890
46,9649507
46.25,9649507
46.5,9649507
46.75,9649507
47,9905465
47.25,9905465
47.5,9905465
47.75,9905465
48,10133245
48.25,10133245
48.5,10133245
48.75,10133245
49,10336266
49.25,10336266
49.5,10336266
49.75,10336266
50,10515995
50.25,10515995
50.5,10515995
50.75,10515995
51,10673813
51.25,10673813
51.5,10673813
51.75,10673813
52,10812833
52.25,10812833
52.5,10812833
52.75,10812833
53,10934488
53.25,10934488
53.5,10934488
53.75,10934488
54,11040773
54.25,11040773
54.5,11040773
54.75,11040773
55,11134130
55.25,11134130
55.5,11134130
55.75,11134130
56,11214873
56.25,11214873
56.5,11214873
56.75,11214873
57,11285491
57.25,11285491
57.5,11285491
57.75,11285491
58,11347471
58.25,11347471
58.5,11347471
58.75,11347471
59,11400465
59.25,11400465
59.5,11400465
59.75,11400465
60,11446977
60.25,11446977
60.5,11446977
60.75,11446977
61,11487320
61.25,11487320
61.5,11487320
61.75,11487320
62,11521865
62.25,11521865
62.5,11521865
62.75,11521865
63,11551458
63.25,11551458
63.5,11551458
63.75,11551458
64,11577107
64.25,11577107
64.5,11577107
64.75,11577107
65,11599457
65.25,11599457
65.5,11599457
65.75,11599457
66,11618514
66.25,11618514
66.5,11618514
66.75,11618514
67,11635418
67.25,11635418
67.5,11635418
67.75,11635418
68,11649571
68.25,11649571
68.5,11649571
68.75,11649571
69,11661781
69.25,11661781
69.5,11661781
69.75,11661781
70,11672499
70.25,11672499
70.5,11672499
70.75,11672499
71,11681608
71.25,11681608
71.5,11681608
71.75,11681608
72,11689396
72.25,11689396
72.5,11689396
72.75,11689396
