Time,total_detected_cases
0,0
0.25,0
0.5,0
0.75,38
1,96
1.25,167
1.5,279
1.75,411
2,539
2.25,683
2.5,832
2.75,991
3,1179
3.25,1357
3.5,1565
3.75,1774
4,1988
4.25,2213
4.5,2459
4.75,2698
5,2961
5.25,3244
5.5,3539
5.75,3865
6,4220
6.25,4592
6.5,4974
6.75,5384
7,5797
7.25,6281
7.5,6770
7.75,7292
8,7833
8.25,8417
8.5,9012
8.75,9652
9,10341
9.25,11037
9.5,11785
9.75,12600
10,13433
10.25,14387
10.5,15314
10.75,16286
11,17383
11.25,18527
11.5,19797
11.75,21111
12,22426
12.25,23833
12.5,25297
12.75,26858
13,28573
13.25,30319
13.5,32286
13.75,34305
14,36382
14.25,38626
14.5,41117
14.75,43677
15,46352
15.25,49290
15.5,52297
15.75,55550
16,58991
16.25,62599
16.5,66457
16.75,70493
17,74694
17.25,79140
17.5,83807
17.75,88830
18,94040
18.25,99565
18.5,105484
18.75,111688
19,118402
19.25,125229
19.5,132540
19.75,140177
20,148185
20.25,156670
20.5,165653
20.75,174978
21,184842
21.25,195332
21.5,206484
21.75,218151
22,230144
22.25,243178
22.5,256752
22.75,270771
23,285909
23.25,301258
23.5,317669
23.75,335035
24,353165
24.25,372266
24.5,391938
24.75,412588
25,434351
25.25,456901
25.5,480277
25.75,504943
26,530809
26.25,557691
26.5,585733
26.75,615158
27,645295
27.25,677188
27.5,709964
27.75,744063
28,779324
28.25,816129
28.5,854187
28.75,893902
29,934589
29.25,976661
29.5,1020449
29.75,1065338
30,1112047
30.25,1160113
30.5,1209682
30.75,1260603
31,1312261
31.25,1365749
31.5,1420987
31.75,1477077
32,1534313
32.25,1593063
32.5,1653362
32.75,1714416
33,1776249
33.25,1839446
33.5,1903590
33.75,1968911
34,2034863
34.25,2101490
34.5,2169564
34.75,2238182
35,2307364
35.25,2377174
35.5,2447242
35.75,2517811
36,2588803
36.25,2660268
36.5,2731914
36.75,2803321
37,2875504
37.25,2947776
37.5,3019195
37.75,3090772
38,3161946
38.25,3232624
38.5,3303111
38.75,3373465
39,3442879
39.25,3512386
39.5,3580707
39.75,3648602
40,3715772
40.25,3782289
40.5,3848115
40.75,3913080
41,3977434
41.25,4041146
41.5,4103424
41.75,4165200
42,4225474
42.25,4284230
42.5,4342345
42.75,4399030
43,4455042
43.25,4510280
43.5,4564219
43.75,4617269
44,4669210
44.25,4719684
44.5,4768680
44.75,4817486
45,4864825
45.25,4911088
45.5,4956040
45.75,5000163
46,5043113
46.25,5085019
46.5,5125841
46.75,5165450
47,5204118
47.25,5241743
47.5,5278386
47.75,5314206
48,5349158
48.25,5383029
48.5,5416088
48.75,5447846
49,5478871
49.25,5508661
49.5,5537895
49.75,5566294
50,5593644
50.25,5620412
50.5,5646147
50.75,5670924
51,5695170
51.25,5718649
51.5,5741371
51.75,5763373
52,5784527
52.25,5805159
52.5,5825111
52.75,5844277
53,5862859
53.25,5880647
53.5,5897961
53.75,5914818
54,5931326
54.25,5947020
54.5,5962298
54.75,5976817
55,5990805
55.25,6004577
55.5,6017527
55.75,6030269
56,6042661
56.25,6054644
56.5,6066260
56.75,6077273
57,6088271
57.25,6098717
57.5,6108602
57.75,6118328
58,6127552
58.25,6136565
58.5,6145015
58.75,6153367
59,6161307
59.25,6169000
59.5,6176644
59.75,6183949
60,6190958
60.25,6197767
60.5,6204220
60.75,6210462
61,6216538
61.25,6222220
61.5,6227632
61.75,6233149
62,6238295
62.25,6243174
62.5,6247935
62.75,6252476
63,6256848
63.25,6261067
63.5,6265291
63.75,6269224
64,6273030
64.25,6276663
64.5,6280245
64.75,6283725
65,6286943
65.25,6290031
65.5,6293147
65.75,6296082
66,6298935
66.25,6301690
66.5,6304356
66.75,6306992
67,6309411
67.25,6311705
67.5,6313964
67.75,6316112
68,6318340
68.25,6320330
68.5,6322192
68.75,6323998
69,6325832
69.25,6327585
69.5,6329283
69.75,6330875
70,6332424
70.25,6333933
70.5,6335351
70.75,6336720
71,6338083
71.25,6339330
71.5,6340517
71.75,6341676
72,6342803
72.25,6343928
72.5,6344966
72.75,6345987
73,6346964
73.25,6347918
73.5,6348851
