Time,cumulative_new_presymptomatic
0,0
0.25,0
0.5,0
0.75,0
1,3493
1.25,3493
1.5,3493
1.75,3493
2,6854
2.25,6854
2.5,6854
2.75,6854
3,9675
3.25,9675
3.5,9675
3.75,9675
4,12959
4.25,12959
4.5,12959
4.75,12959
5,17024
5.25,17024
5.5,17024
5.75,17024
6,22038
6.25,22038
6.5,22038
6.75,22038
7,28597
7.25,28597
7.5,28597
7.75,28597
8,36874
8.25,36874
8.5,36874
8.75,36874
9,47462
9.25,47462
9.5,47462
9.75,47462
10,60708
10.25,60708
10.5,60708
10.75,60708
11,77603
11.25,77603
11.5,77603
11.75,77603
12,98700
12.25,98700
12.5,98700
12.75,98700
13,125124
13.25,125124
13.5,125124
13.75,125124
14,158216
14.25,158216
14.5,158216
14.75,158216
15,200357
15.25,200357
15.5,200357
15.75,200357
16,252596
16.25,252596
16.5,252596
16.75,252596
17,317023
17.25,317023
17.5,317023
17.75,317023
18,396847
18.25,396847
18.5,396847
18.75,396847
19,495166
19.25,495166
19.5,495166
19.75,495166
20,614740
20.25,614740
20.5,614740
20.75,614740
21,760494
21.25,760494
21.5,760494
21.75,760494
22,937107
22.25,937107
22.5,937107
22.75,937107
23,1150021
23.25,1150021
23.5,1150021
23.75,1150021
24,1403594
24.25,1403594
24.5,1403594
24.75,1403594
25,1702109
25.25,1702109
25.5,1702109
25.75,1702109
26,2050015
26.25,2050015
26.5,2050015
26.75,2050015
27,2448629
27.25,2448629
27.5,2448629
27.75,2448629
28,2901339
28.25,2901339
28.5,2901339
28.75,2901339
29,3402871
29.25,3402871
29.5,3402871
29.75,3402871
30,3950679
30.25,3950679
30.5,3950679
30.75,3950679
31,4535236
31.25,4535236
31.5,4535236
31.75,4535236
32,5145312
32.25,5145312
32.5,5145312
32.75,5145312
33,5767526
33.25,5767526
33.5,5767526
33.75,5767526
34,6387038
34.25,6387038
34.5,6387038
34.75,6387038
35,6993276
35.25,6993276
35.5,6993276
35.75,6993276
36,7570830
36.25,7570830
36.5,7570830
36.75,7570830
37,8109953
37.25,8109953
37.5,8109953
37.75,8109953
38,8603891
38.25,8603891
38.5,8603891
38.75,8603891
39,9050115
39.25,9050115
39.5,9050115
39.75,9050115
40,9447298
40.25,9447298
40.5,9447298
40.75,9447298
41,9795435
41.25,9795435
41.5,9795435
41.75,9795435
42,10097799
42.25,10097799
42.5,10097799
42.75,10097799
43,10357517
43.25,10357517
43.5,10357517
43.75,10357517
44,10580532
44.25,10580532
44.5,10580532
44.75,10580532
45,10769504
45.25,10769504
45.5,10769504
45.75,10769504
46,10929790
46.25,10929790
46.5,10929790
46.75,10929790
47,11063426
47.25,11063426
47.5,11063426
47.75,11063426
48,11175896
48.25,11175896
48.5,11175896
48.75,11175896
49,11270279
49.25,11270279
49.5,11270279
49.75,11270279
50,11349669
50.25,11349669
50.5,11349669
50.75,11349669
51,11416084
51.25,11416084
51.5,11416084
51.75,11416084
52,11471374
52.25,11471374
52.5,11471374
52.75,11471374
53,11517837
53.25,11517837
53.5,11517837
53.75,11517837
54,11556635
54.25,11556635
54.5,11556635
54.75,11556635
55,11589369
55.25,11589369
55.5,11589369
55.75,11589369
56,11616756
56.25,11616756
56.5,11616756
56.75,11616756
57,11640126
57.25,11640126
57.5,11640126
57.75,11640126
58,11659730
58.25,11659730
58.5,11659730
58.75,11659730
59,11676054
59.25,11676054
59.5,11676054
59.75,11676054
60,11689997
60.25,11689997
60.5,11689997
60.75,11689997
61,11701893
61.25,11701893
61.5,11701893
61.75,11701893
62,11711914
62.25,11711914
62.5,11711914
62.75,11711914
63,11720482
63.25,11720482
63.5,11720482
63.75,11720482
64,11727638
64.25,11727638
64.5,11727638
64.75,11727638
65,11733760
65.25,11733760
65.5,11733760
65.75,11733760
66,11738875
66.25,11738875
66.5,11738875
66.75,11738875
67,11743254
67.25,11743254
67.5,11743254
67.75,11743254
68,11747038
68.25,11747038
68.5,11747038
68.75,11747038
69,11750269
69.25,11750269
69.5,11750269
69.75,11750269
70,11753056
70.25,11753056
70.5,11753056
70.75,11753056
71,11755323
71.25,11755323
71.5,11755323
71.75,11755323
72,11757359
72.25,11757359
