Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,0.0118532
1,0.0161423
1.25,0.0214448
1.5,0.0321135
1.75,0.0299534
2,0.0328187
2.25,0.034644
2.5,0.0512236
2.75,0.0491633
3,0.0493117
3.25,0.0511536
3.5,0.0592344
3.75,0.0634227
4,0.0615049
4.25,0.0562788
4.5,0.0494754
4.75,0.0568666
5,0.0575661
5.25,0.0723641
5.5,0.0738893
5.75,0.058765
6,0.0735225
6.25,0.0657068
6.5,0.0678541
6.75,0.0668148
7,0.0706749
7.25,0.0827392
7.5,0.0711441
7.75,0.0709504
8,0.0726923
8.25,0.0866035
8.5,0.0827556
8.75,0.0792834
9,0.093192
9.25,0.0836666
9.5,0.0805409
9.75,0.081409
10,0.0935885
10.25,0.0838073
10.5,0.0796939
10.75,0.0832202
11,0.0810482
11.25,0.0893359
11.5,0.0900108
11.75,0.0887435
12,0.0838144
12.25,0.0821956
12.5,0.0854621
12.75,0.0865212
13,0.089354
13.25,0.0910183
13.5,0.0855476
13.75,0.0874119
14,0.0892348
14.25,0.0886093
14.5,0.0942582
14.75,0.0946665
15,0.0967082
15.25,0.0981493
15.5,0.0930406
15.75,0.0963593
16,0.0931889
16.25,0.0922096
16.5,0.0913138
16.75,0.0968848
17,0.0989956
17.25,0.101995
17.5,0.102097
17.75,0.10307
18,0.101357
18.25,0.104347
18.5,0.107871
18.75,0.105872
19,0.107942
19.25,0.108625
19.5,0.107743
19.75,0.111172
20,0.110871
20.25,0.112428
20.5,0.114987
20.75,0.115005
21,0.119055
21.25,0.116996
21.5,0.120599
21.75,0.122411
22,0.123257
22.25,0.126416
22.5,0.12838
22.75,0.127172
23,0.128763
23.25,0.131176
23.5,0.133741
23.75,0.135524
24,0.140131
24.25,0.142349
24.5,0.143618
24.75,0.143228
25,0.146166
25.25,0.14699
25.5,0.148818
25.75,0.153145
26,0.154136
26.25,0.156324
26.5,0.157328
26.75,0.1614
27,0.161521
27.25,0.165273
27.5,0.164835
27.75,0.169094
28,0.169444
28.25,0.169352
28.5,0.17351
28.75,0.175915
29,0.174903
29.25,0.177645
29.5,0.17867
29.75,0.175901
30,0.180786
30.25,0.181004
30.5,0.182186
30.75,0.182469
31,0.182255
31.25,0.181526
31.5,0.181929
31.75,0.182316
32,0.17924
32.25,0.178933
32.5,0.179771
32.75,0.177802
33,0.17713
33.25,0.176294
33.5,0.174559
33.75,0.169695
34,0.168035
34.25,0.165123
34.5,0.164846
34.75,0.160064
35,0.158536
35.25,0.155096
35.5,0.152901
35.75,0.149545
36,0.146252
36.25,0.142128
36.5,0.140219
36.75,0.134991
37,0.133082
37.25,0.127975
37.5,0.123782
37.75,0.121485
38,0.119664
38.25,0.115975
38.5,0.110552
38.75,0.112041
39,0.1085
39.25,0.102235
39.5,0.0976388
39.75,0.0952913
40,0.0953014
40.25,0.0899272
40.5,0.0868187
40.75,0.0846906
41,0.0832955
41.25,0.0798948
41.5,0.0776745
41.75,0.0718993
42,0.0728574
42.25,0.0699903
42.5,0.0697143
42.75,0.0659291
43,0.0646716
43.25,0.0631982
43.5,0.0595034
43.75,0.05515
44,0.0597831
44.25,0.054967
44.5,0.0555546
44.75,0.0506293
45,0.0516263
45.25,0.0495153
45.5,0.0508638
45.75,0.0434467
46,0.0462078
46.25,0.0441941
46.5,0.0477608
46.75,0.0433951
47,0.0437178
47.25,0.0466195
47.5,0.0374272
47.75,0.0416571
48,0.0412812
48.25,0.0361134
48.5,0.0350529
48.75,0.0394281
49,0.0377364
49.25,0.0366127
49.5,0.0331199
49.75,0.0364445
50,0.0393749
50.25,0.0321532
50.5,0.0308612
50.75,0.0355243
51,0.0280257
51.25,0.0289654
51.5,0.0284459
51.75,0.0273022
52,0.0249865
52.25,0.0271447
52.5,0.026413
52.75,0.0336888
53,0.0348811
53.25,0.0202543
53.5,0.0283297
53.75,0.0273534
54,0.0252946
54.25,0.0220821
54.5,0.0239176
54.75,0.0289026
55,0.0256053
55.25,0.0372233
55.5,0.0244931
55.75,0.0273827
56,0.0215115
56.25,0.0213537
56.5,0.0232199
56.75,0.0186159
57,0.0251304
57.25,0.0154303
57.5,0.0221608
57.75,0.0386201
58,0.0183706
58.25,0.0359618
58.5,0.0245477
58.75,0.018106
59,0.0210249
59.25,0.0295872
59.5,0.0160794
59.75,0.0171899
60,0.0222108
60.25,0.0186524
60.5,0.0141065
60.75,0.044412
61,0.00682288
61.25,0.0231337
61.5,0.0151682
61.75,0.0230788
62,0.0184839
62.25,0.0159406
62.5,0.0173375
62.75,0.0187056
63,0.0108965
63.25,0.0106827
63.5,0.0185637
63.75,0.016657
64,0.027798
64.25,0.0128637
64.5,0.0319379
64.75,0.0234899
65,0.0204066
65.25,0.014203
65.5,0.00763382
65.75,0.0195417
66,0.0187902
66.25,0.0435278
66.5,0.0334417
66.75,0.0108929
67,0.0109333
67.25,0.00617258
67.5,0.0135595
67.75,0.014619
68,0.0177716
68.25,0.00993612
68.5,0.00571237
68.75,0.00661651
69,0.0270249
69.25,0.0246733
69.5,0.0044112
69.75,0.0169826
70,0.0149682
70.25,0.0102962
70.5,0.0098018
70.75,0.0310265
71,0.0468988
71.25,0.00280167
71.5,0.0261078
71.75,0.0234095
72,0.0278546
72.25,0.0292135
72.5,0.0159491
72.75,0.026098
73,0.00418214
73.25,0.0133403
73.5,0
73.75,0.0117866
74,0.00259199
74.25,0.0142834
74.5,0.00458971
74.75,0.0205384
75,0.0227454
75.25,0.0170853
75.5,0.0174769
75.75,0.00833208
76,0.0617015
76.25,0.0109427
76.5,0.0316056
76.75,0.0125344
77,0.00323014
77.25,0.00271742
77.5,0.0141292
77.75,1.4092e-08
78,0.00499051
78.25,0.000802412
78.5,0.00138359
78.75,0.0456678
79,0.0179954
79.25,0.00456821
79.5,0.00018973
79.75,0.0119539
80,0
80.25,0.00619525
80.5,0.0229235
80.75,0.000100053
81,0.00325581
