Time,mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0.101111
1,0.0999648
1.25,0.133951
1.5,0.14626
1.75,0.161127
2,0.171347
2.25,0.170935
2.5,0.165115
2.75,0.192859
3,0.183087
3.25,0.192576
3.5,0.193033
3.75,0.193478
4,0.20567
4.25,0.201083
4.5,0.200635
4.75,0.197361
5,0.199705
5.25,0.214867
5.5,0.208671
5.75,0.206709
6,0.204472
6.25,0.201567
6.5,0.203583
6.75,0.200289
7,0.201955
7.25,0.203608
7.5,0.199779
7.75,0.19913
8,0.18965
8.25,0.197496
8.5,0.185541
8.75,0.194545
9,0.196674
9.25,0.188464
9.5,0.192352
9.75,0.186933
10,0.194091
10.25,0.186596
10.5,0.188437
10.75,0.191583
11,0.189509
11.25,0.184129
11.5,0.18686
11.75,0.187283
12,0.186484
12.25,0.186445
12.5,0.189964
12.75,0.19329
13,0.189701
13.25,0.192072
13.5,0.193629
13.75,0.191536
14,0.19464
14.25,0.195178
14.5,0.19426
14.75,0.198175
15,0.1964
15.25,0.197885
15.5,0.196877
15.75,0.197774
16,0.199749
16.25,0.195826
16.5,0.199681
16.75,0.200794
17,0.19998
17.25,0.197569
17.5,0.200267
17.75,0.199849
18,0.203221
18.25,0.201975
18.5,0.203424
18.75,0.203574
19,0.20464
19.25,0.204224
19.5,0.20533
19.75,0.204225
20,0.20852
20.25,0.208254
20.5,0.210202
20.75,0.208305
21,0.208966
21.25,0.211038
21.5,0.2094
21.75,0.209857
22,0.213519
22.25,0.213099
22.5,0.21348
22.75,0.212461
23,0.214473
23.25,0.214758
23.5,0.214531
23.75,0.216862
24,0.218606
24.25,0.22012
24.5,0.219682
24.75,0.220117
25,0.221537
25.25,0.222392
25.5,0.222141
25.75,0.224158
26,0.225546
26.25,0.227438
26.5,0.227724
26.75,0.2292
27,0.230222
27.25,0.232184
27.5,0.233614
27.75,0.235356
28,0.237232
28.25,0.237702
28.5,0.241744
28.75,0.242967
29,0.244996
29.25,0.248371
29.5,0.249737
29.75,0.250493
30,0.255868
30.25,0.256377
30.5,0.25831
30.75,0.263276
31,0.2644
31.25,0.268149
31.5,0.271528
31.75,0.274843
32,0.279064
32.25,0.281856
32.5,0.28795
32.75,0.290802
33,0.293702
33.25,0.298516
33.5,0.302138
33.75,0.306157
34,0.31221
34.25,0.314894
34.5,0.321361
34.75,0.322303
35,0.33006
35.25,0.331729
35.5,0.337944
35.75,0.342307
36,0.34713
36.25,0.353681
36.5,0.355861
36.75,0.362636
37,0.367042
37.25,0.371917
37.5,0.373908
37.75,0.381189
38,0.387683
38.25,0.38917
38.5,0.395298
38.75,0.400407
39,0.408126
39.25,0.408544
39.5,0.413286
39.75,0.418368
40,0.424889
40.25,0.426834
40.5,0.43439
40.75,0.432017
41,0.443206
41.25,0.442184
41.5,0.440737
41.75,0.453912
42,0.455297
42.25,0.457723
42.5,0.462187
42.75,0.458916
43,0.467433
43.25,0.471366
43.5,0.475306
43.75,0.475462
44,0.486302
44.25,0.488671
44.5,0.48353
44.75,0.486988
45,0.487067
45.25,0.496266
45.5,0.495689
45.75,0.499756
46,0.50552
46.25,0.502005
46.5,0.504076
46.75,0.516905
47,0.504533
47.25,0.506128
47.5,0.523993
47.75,0.512366
48,0.51302
48.25,0.519742
48.5,0.533381
48.75,0.520379
49,0.520375
49.25,0.51945
49.5,0.529926
49.75,0.537516
50,0.530687
50.25,0.542425
50.5,0.539243
50.75,0.536625
51,0.544847
51.25,0.548115
51.5,0.545301
51.75,0.558463
52,0.541179
52.25,0.551734
52.5,0.560981
52.75,0.555719
53,0.556981
53.25,0.556221
53.5,0.541557
53.75,0.552907
54,0.562244
54.25,0.546619
54.5,0.556572
54.75,0.5537
55,0.567053
55.25,0.560514
55.5,0.570247
55.75,0.564513
56,0.584008
56.25,0.557677
56.5,0.558317
56.75,0.568617
57,0.563864
57.25,0.56215
57.5,0.574478
57.75,0.533739
58,0.548128
58.25,0.589824
58.5,0.573619
58.75,0.570039
59,0.568453
59.25,0.566317
59.5,0.579296
59.75,0.576992
60,0.576242
60.25,0.55989
60.5,0.575104
60.75,0.584065
61,0.580177
61.25,0.596876
