Time,daily_new_exposed
0,0
0.25,0
0.5,0
0.75,670
1,974
1.25,2239
1.5,3755
1.75,5381
2,1754
2.25,3649
2.5,5587
2.75,7532
3,2067
3.25,4121
3.5,6179
3.75,8357
4,2306
4.25,4792
4.5,7463
4.75,10237
5,2963
5.25,6104
5.5,9513
5.75,12924
6,3499
6.25,7241
6.5,11248
6.75,15549
7,4478
7.25,9106
7.5,13940
7.75,19235
8,5731
8.25,11779
8.5,18188
8.75,25185
9,7395
9.25,15065
9.5,23266
9.75,31928
10,9052
10.25,18747
10.5,28991
10.75,39947
11,11467
11.25,23772
11.5,36753
11.75,50371
12,14404
12.25,29416
12.5,45319
12.75,62218
13,17657
13.25,36441
13.5,56399
13.75,77271
14,22055
14.25,45192
14.5,69668
14.75,95725
15,27095
15.25,55607
15.5,85375
15.75,117142
16,33046
16.25,67835
16.5,104564
16.75,143112
17,40545
17.25,83291
17.5,128095
17.75,174808
18,49133
18.25,101108
18.5,155413
18.75,212258
19,59622
19.25,122150
19.5,186928
19.75,254864
20,71210
20.25,144783
20.5,222114
20.75,303052
21,84489
21.25,172785
21.5,263655
21.75,357929
22,97843
22.25,199592
22.5,305487
22.75,415823
23,113684
23.25,231669
23.5,353746
23.75,479473
24,129404
24.25,262098
24.5,398155
24.75,538653
25,143979
25.25,291929
25.5,442233
25.75,596922
26,156907
26.25,316665
26.5,478940
26.75,643763
27,166528
27.25,335972
27.5,506728
27.75,678742
28,173229
28.25,346955
28.5,521167
28.75,695554
29,173996
29.25,347467
29.5,520518
29.75,692098
30,169220
30.25,337146
30.5,502729
30.75,665727
31,160456
31.25,318197
31.5,472164
31.75,623231
32,147280
32.25,290711
32.5,431088
32.75,566867
33,132241
33.25,259429
33.5,382422
33.75,501457
34,114923
34.25,225245
34.5,330784
34.75,433394
35,98336
35.25,192802
35.5,283467
35.75,370130
36,82527
36.25,162225
36.5,237934
36.75,309964
37,68900
37.25,135063
37.5,197867
37.75,257865
38,57446
38.25,111745
38.5,163458
38.75,212934
39,47027
39.25,91880
39.5,134836
39.75,175769
40,38300
40.25,75380
40.5,110957
40.75,145229
41,32066
41.25,62691
41.5,91921
41.75,119657
42,26141
42.25,51186
42.5,75283
42.75,98423
43,22024
43.25,42857
43.5,62977
43.75,82019
44,18478
44.25,36083
44.5,52385
44.75,68313
45,15091
45.25,29454
45.5,43151
45.75,56241
46,12520
46.25,24526
46.5,36064
46.75,46977
47,10507
47.25,20611
47.5,30163
47.75,39191
48,8646
48.25,16840
48.5,24868
48.75,32764
49,7409
49.25,14512
49.5,21411
49.75,27853
50,6171
50.25,12231
50.5,17941
50.75,23417
51,5172
51.25,10177
51.5,15048
51.75,19656
52,4586
52.25,8881
52.5,12986
52.75,16866
53,3749
53.25,7348
53.5,10912
53.75,14254
54,3145
54.25,6270
54.5,9318
54.75,12181
55,2697
55.25,5306
55.5,7926
55.75,10335
56,2361
56.25,4555
56.5,6641
56.75,8730
57,1989
57.25,3892
57.5,5680
57.75,7468
58,1687
58.25,3254
58.5,4768
58.75,6268
59,1390
59.25,2726
59.5,4068
59.75,5348
60,1159
60.25,2294
60.5,3414
60.75,4499
61,1030
61.25,1997
61.5,2941
61.75,3875
62,846
62.25,1739
62.5,2577
62.75,3362
63,759
63.25,1498
63.5,2206
63.75,2861
64,614
64.25,1236
64.5,1853
64.75,2386
65,567
65.25,1135
65.5,1623
65.75,2077
66,461
66.25,921
66.5,1382
66.75,1790
67,391
67.25,778
67.5,1138
67.75,1490
68,319
68.25,671
68.5,995
68.75,1300
69,325
69.25,603
69.5,880
69.75,1173
70,244
70.25,462
70.5,687
70.75,925
71,196
71.25,403
71.5,595
71.75,779
72,180
72.25,368
72.5,537
72.75,685
73,154
73.25,328
73.5,460
73.75,584
74,124
74.25,248
74.5,386
74.75,501
75,143
75.25,256
75.5,369
75.75,471
76,96
76.25,183
76.5,285
76.75,379
77,76
77.25,171
77.5,238
77.75,308
78,80
78.25,149
78.5,210
78.75,270
79,68
79.25,144
79.5,205
79.75,261
80,60
80.25,110
80.5,151
80.75,212
81,43
81.25,97
81.5,138
81.75,190
82,38
82.25,59
82.5,89
82.75,122
