Time,mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0.662638
1,0.58511
1.25,0.535711
1.5,0.500703
1.75,0.468755
2,0.447688
2.25,0.432785
2.5,0.381324
2.75,0.37187
3,0.360706
3.25,0.33165
3.5,0.325754
3.75,0.296227
4,0.300064
4.25,0.294492
4.5,0.30403
4.75,0.278003
5,0.29472
5.25,0.255613
5.5,0.27286
5.75,0.274987
6,0.252872
6.25,0.273749
6.5,0.271511
6.75,0.271836
7,0.266685
7.25,0.250568
7.5,0.267011
7.75,0.27691
8,0.271984
8.25,0.258068
8.5,0.263862
8.75,0.26103
9,0.253883
9.25,0.261018
9.5,0.263216
9.75,0.268143
10,0.261717
10.25,0.268102
10.5,0.272239
10.75,0.276082
11,0.280779
11.25,0.281226
11.5,0.271727
11.75,0.275195
12,0.293791
12.25,0.281644
12.5,0.281039
12.75,0.27706
13,0.281882
13.25,0.282049
13.5,0.283037
13.75,0.281809
14,0.280419
14.25,0.285794
14.5,0.282315
14.75,0.279847
15,0.279568
15.25,0.282714
15.5,0.285844
15.75,0.284001
16,0.288646
16.25,0.290677
16.5,0.286879
16.75,0.285053
17,0.281858
17.25,0.28633
17.5,0.285518
17.75,0.282209
18,0.291296
18.25,0.288233
18.5,0.28873
18.75,0.289974
19,0.289306
19.25,0.291584
19.5,0.289139
19.75,0.288443
20,0.29053
20.25,0.289735
20.5,0.289765
20.75,0.289711
21,0.288656
21.25,0.291984
21.5,0.291751
21.75,0.290851
22,0.292775
22.25,0.291871
22.5,0.291931
22.75,0.295364
23,0.294568
23.25,0.295886
23.5,0.296802
23.75,0.295621
24,0.29313
24.25,0.293129
24.5,0.297617
24.75,0.297883
25,0.299104
25.25,0.298276
25.5,0.301364
25.75,0.299871
26,0.302111
26.25,0.302212
26.5,0.304562
26.75,0.303456
27,0.307054
27.25,0.304265
27.5,0.308703
27.75,0.307692
28,0.309338
28.25,0.3137
28.5,0.310502
28.75,0.313889
29,0.314641
29.25,0.314294
29.5,0.316056
29.75,0.32064
30,0.319984
30.25,0.322781
30.5,0.323843
30.75,0.325138
31,0.327642
31.25,0.330928
31.5,0.331901
31.75,0.333653
32,0.335772
32.25,0.339106
32.5,0.341375
32.75,0.343823
33,0.345225
33.25,0.346157
33.5,0.350403
33.75,0.354681
34,0.35497
34.25,0.35977
34.5,0.359908
34.75,0.367475
35,0.364796
35.25,0.371783
35.5,0.371945
35.75,0.376548
36,0.378637
36.25,0.381234
36.5,0.382711
36.75,0.384791
37,0.386193
37.25,0.388278
37.5,0.393599
37.75,0.394486
38,0.393422
38.25,0.398218
38.5,0.400315
38.75,0.396788
39,0.39635
39.25,0.402251
39.5,0.407075
39.75,0.407689
40,0.402516
40.25,0.40797
40.5,0.405512
40.75,0.412248
41,0.407419
41.25,0.41208
41.5,0.414945
41.75,0.410886
42,0.40979
42.25,0.410775
42.5,0.410166
42.75,0.416399
43,0.4106
43.25,0.411108
43.5,0.410908
43.75,0.412041
44,0.40438
44.25,0.407882
44.5,0.410159
44.75,0.4124
45,0.413922
45.25,0.410131
45.5,0.406534
45.75,0.410177
46,0.404635
46.25,0.410634
46.5,0.404073
46.75,0.397861
47,0.40901
47.25,0.40628
47.5,0.399565
47.75,0.405944
48,0.407393
48.25,0.404713
48.5,0.392045
48.75,0.406534
49,0.406676
49.25,0.409511
49.5,0.406066
49.75,0.391634
50,0.400332
50.25,0.395189
50.5,0.395263
50.75,0.399358
51,0.391266
51.25,0.391737
51.5,0.395222
51.75,0.383102
52,0.396276
52.25,0.388592
52.5,0.381346
52.75,0.383842
53,0.382942
53.25,0.387773
53.5,0.397409
53.75,0.388874
54,0.381943
54.25,0.401468
54.5,0.388481
54.75,0.390776
55,0.386591
55.25,0.380746
55.5,0.376058
55.75,0.379605
56,0.368563
56.25,0.393788
56.5,0.392681
56.75,0.385213
57,0.395636
57.25,0.383942
57.5,0.381382
57.75,0.418086
58,0.409044
58.25,0.373359
58.5,0.379986
58.75,0.385494
59,0.385198
59.25,0.39176
59.5,0.377622
59.75,0.380693
60,0.377131
60.25,0.388246
60.5,0.381936
60.75,0.365138
61,0.383434
61.25,0.365171
