Time,cumulative_new_hospitalised
0,0
0.25,0
0.5,0
0.75,0
1,3
1.25,3
1.5,3
1.75,3
2,19
2.25,19
2.5,19
2.75,19
3,48
3.25,48
3.5,48
3.75,48
4,94
4.25,94
4.5,94
4.75,94
5,131
5.25,131
5.5,131
5.75,131
6,187
6.25,187
6.5,187
6.75,187
7,263
7.25,263
7.5,263
7.75,263
8,336
8.25,336
8.5,336
8.75,336
9,426
9.25,426
9.5,426
9.75,426
10,559
10.25,559
10.5,559
10.75,559
11,716
11.25,716
11.5,716
11.75,716
12,913
12.25,913
12.5,913
12.75,913
13,1121
13.25,1121
13.5,1121
13.75,1121
14,1448
14.25,1448
14.5,1448
14.75,1448
15,1843
15.25,1843
15.5,1843
15.75,1843
16,2319
16.25,2319
16.5,2319
16.75,2319
17,2913
17.25,2913
17.5,2913
17.75,2913
18,3627
18.25,3627
18.5,3627
18.75,3627
19,4573
19.25,4573
19.5,4573
19.75,4573
20,5697
20.25,5697
20.5,5697
20.75,5697
21,7105
21.25,7105
21.5,7105
21.75,7105
22,8842
22.25,8842
22.5,8842
22.75,8842
23,11072
23.25,11072
23.5,11072
23.75,11072
24,13728
24.25,13728
24.5,13728
24.75,13728
25,17046
25.25,17046
25.5,17046
25.75,17046
26,20943
26.25,20943
26.5,20943
26.75,20943
27,25615
27.25,25615
27.5,25615
27.75,25615
28,31096
28.25,31096
28.5,31096
28.75,31096
29,37476
29.25,37476
29.5,37476
29.75,37476
30,44863
30.25,44863
30.5,44863
30.75,44863
31,53625
31.25,53625
31.5,53625
31.75,53625
32,63149
32.25,63149
32.5,63149
32.75,63149
33,73738
33.25,73738
33.5,73738
33.75,73738
34,85476
34.25,85476
34.5,85476
34.75,85476
35,97903
35.25,97903
35.5,97903
35.75,97903
36,111061
36.25,111061
36.5,111061
36.75,111061
37,124648
37.25,124648
37.5,124648
37.75,124648
38,138646
38.25,138646
38.5,138646
38.75,138646
39,152770
39.25,152770
39.5,152770
39.75,152770
40,166659
40.25,166659
40.5,166659
40.75,166659
41,180169
41.25,180169
41.5,180169
41.75,180169
42,193362
42.25,193362
42.5,193362
42.75,193362
43,205959
43.25,205959
43.5,205959
43.75,205959
44,217763
44.25,217763
44.5,217763
44.75,217763
45,228882
45.25,228882
45.5,228882
45.75,228882
46,239145
46.25,239145
46.5,239145
46.75,239145
47,248723
47.25,248723
47.5,248723
47.75,248723
48,257461
48.25,257461
48.5,257461
48.75,257461
49,265381
49.25,265381
49.5,265381
49.75,265381
50,272609
50.25,272609
50.5,272609
50.75,272609
51,278994
51.25,278994
51.5,278994
51.75,278994
52,284643
52.25,284643
52.5,284643
52.75,284643
53,289820
53.25,289820
53.5,289820
53.75,289820
54,294403
54.25,294403
54.5,294403
54.75,294403
55,298497
55.25,298497
55.5,298497
55.75,298497
56,302080
56.25,302080
56.5,302080
56.75,302080
57,305215
57.25,305215
57.5,305215
57.75,305215
58,307931
58.25,307931
58.5,307931
58.75,307931
59,310349
59.25,310349
59.5,310349
59.75,310349
60,312439
60.25,312439
60.5,312439
60.75,312439
61,314309
61.25,314309
61.5,314309
61.75,314309
62,315826
62.25,315826
62.5,315826
62.75,315826
63,317204
63.25,317204
63.5,317204
63.75,317204
64,318446
64.25,318446
64.5,318446
64.75,318446
65,319498
65.25,319498
65.5,319498
65.75,319498
66,320421
66.25,320421
66.5,320421
66.75,320421
67,321224
67.25,321224
67.5,321224
67.75,321224
68,321858
68.25,321858
68.5,321858
68.75,321858
69,322481
69.25,322481
69.5,322481
69.75,322481
70,322959
70.25,322959
70.5,322959
70.75,322959
71,323411
71.25,323411
71.5,323411
71.75,323411
72,323782
72.25,323782
72.5,323782
72.75,323782
73,324114
73.25,324114
73.5,324114
73.75,324114
74,324391
74.25,324391
74.5,324391
74.75,324391
75,324648
75.25,324648
75.5,324648
75.75,324648
76,324834
76.25,324834
76.5,324834
76.75,324834
77,325000
77.25,325000
77.5,325000
77.75,325000
78,325157
78.25,325157
78.5,325157
78.75,325157
79,325289
79.25,325289
79.5,325289
79.75,325289
80,325411
80.25,325411
80.5,325411
80.75,325411
81,325509
81.25,325509
81.5,325509
81.75,325509
