AC No.,address,households,area(sq km),wardNo,district
17,Infront of E&F Patharwala Bagh Wazir Pur Phase-IV,100,8064,65,North
17,Patharwala Bagh E-Block Wazir Pur JJ Colony Phase I,283,15013,65,North
17,"B-Block, Shamshan Ghat Wazirpur",774,1045,66,North
17,Opposite K & L-Block Wazirpur JJ Colony,256,16942,65,North
17,K-Block Wazir Pur,536,7458,65,North
17,J1J2-Block Wazir Pur JJ Colony,159,1713,65,North
17,J-3 Wazirpur,538,7254,65,North
17,J-Block Murga Market Ashok Vihar Ward No.-31 Wazir Pur Village ,700,5038,67,North
17,Mata Jai Kaur Public School Ashok Vihar,52,1367,66,North
17,Sawan Park Chowck No.-3 Ashok Vihar,300,8827,66,North
17,"Weaver Colony, Bharat Nagar.",57,1141,66,North
17,Near Jain Mandir Shakti Nagar Extension,51,878,66,North
17,Near Arya Samaj Mandir Shakti Nagar Extension,39,1485,66,North
17,Jailer Wala Bagh Ashok Vihar,1575,22500,66,North
17,"Chander Shekhar Azad Colony, Wazirpur Industrial Area",1470,43716,68,North
17,C-35 Wazir Pur Industrial Area,230,3178,68,North
17,"C-Block, Azad Colony Opposite Narula Factory Wazirpur Industriual Area",165,1597,68,North
17,DDA Park Chander Shekher Azad Colony Wazir Pur Industrial Area ,775,5735,68,North
17,B-33 Wazirpur Industrial Area,62,638,68,North
17,B-27 Wazirpur Industrial Area,45,372,68,North
17,B-46 Wazirpur Industrial Area,21,443,68,North
17,B-46/2 Wazirpur Industrial Area,46,221,68,North
17,B-70/1 Wazirpur Industrial Area,51,839,68,North
17,Prem Bari Bridge along Railway Line Sukhdev Nagar ,3799,40300,68,North
17,Tool Room Training Center Wazirpur Industrial Area ,400,1539,68,North
17,Shahdeed Udam Singh Park Wazirpur Industrial Area,1252,12817,68,North
16,HCL Factory Shakur Pur,35,560,59,North
16,Indira Camp F-Block Shakur Pur,32,780,64,North
16,"Sant Ravi Dass Camp L-Block, Shakur Pur.",68,840,64,North
15,Near Railway Colony Shakur Basti,775,34800,59,North
15,Dera Gaji Khan Tarun Enclave Pitam Pura Parwan Road ,547,8120,60,North
15,Rang Mahal Housing Society Pitampura.,99,1663,60,North
16,Near Kohat Enclave Pitam Pura,32,990,63,North
46,Junapur Bhim Basti,656,65998,175,South
46,Mandi Village Bapu Camp,358,70938,175,South
46,Mandi Pahari (Shambhav Camp),312,31928,175,South
46,Mandi Village (Biru Camp),170,12549,175,South
46,Mandi Village (Shanti Camp),408,62854,175,South
46,Dr. Ambedkar Satwari Mehrauli,230,6424,176,South
46,Suhurpuri Mehrauli,51,10049,176,South
46,Kharak Riwara Satwari Mehrauli,628,121636,176,South
46,Sanjay Colony- Mehrauli Bhatti Mines,1263,783173,176,South
46,Ambedker Colony Andheria More,87,6725,174,South
46,Chattar Pur Pahari Mehrauli,114,13123,174,South
51,Bhoomiheen Camp Govind Puri Kalkaji,2128,35156,195,South East
51,Navjeevan Camp & J.L. Nehru Camp Govind Puri Kalkaji ,4578,103896,195,South East
50,Karotia Camp Kalkaji,136,2400,190,New Delhi
41,Indira Gandhi Camp No.2 Jeewan Nagar near Police Post Hari Nagar ,400,7351,156,South East
41,Indira Gandhi Camp No.1 Siddarth Basti Hari Nagar Ashram ,150,3832,156,South East
41,"Garhi Mohalla Summon Bazar, Bhogal",19,1970,156,South East
41,Behind PGDAV College Nehru Nagar Block-8 & Adivasi Camp ,209,6044,155,South East
41,Partap Camp Behind Gurudwara Nehru Nagar.,524,9028,155,South East
41,Block.8 Nehru Nagar,90,2100,155,South East
41,Indira Camp MCD School Block-10 Nehru Nagar,252,4577,155,South East
41,Vijay Camp Housing Factory Jal Vihar Lajpat Nagar.,370,2600,155,South East
41,Madrasi Basti Near Railway Line Jal Vihar,1310,14010,156,South East
42,"Sai Baba Camp Adjoining Bal Bharti School,Lodhi Road (Institutional Area Lodhi Road)",93,1614,157,South East
42,Harijan Camp Meher Chand Market Lodhi Road,700,7500,157,South East
51,Karpuri Thakur Jagjeewan Camp Shriniwas Puri,393,13400,193,South East
51,JJC Indira Gandhi Camp Shriniwas Puri,141,3000,193,South East
51,Indira Gandhi Tea Market Shriniwas Puri,514,10500,193,South East
51,Okhla DTC Depot-I,409,32349,193,South East
51,Gandhi Camp Behind Fruit & Vegitable Market Okhla Railway Station ,496,13652,193,South East
51,Dayal Singh Colony Near West Front Okhla.,404,7580,193,South East
51,Indira Camp Sriniwas Puri Gurdawara,159,3195,193,South East
51,Priyanka Camp Mathura Road Opposite Sukhdev Vihar Depot ,91,850,193,South East
51,CRRI Camp Mathura Road Opposite Sukhdev Vihar Depot ,104,2795,193,South East
51,Manav Kalyan Camp Giri Nagar Kalkaji,91,2690,196,South East
51,JJC at Bal Mukund Khand Kalkaji,123,1450,196,South East
51,Sudhar Camp Kalkaji,546,10790,196,South East
51,Sarvodaya Colony near MCD School Tilak Khand Kalkaji ,204,1680,196,South East
54,Indira Camp Park 2 Okhla (Tamur Nagar),541,20188,205,South East
54,Indira Camp Pahari No.-2 Taimur Nagar,460,34281,205,South East
