AC No.,address,households,area(sq km),wardNo,district
51,Leprosy Camp Shriniwas Puri,67,650,193,South East
51,Priya Camp Mathura Road Opposite Sukhdev Vihar Depot,139,494,193,South East
54,"Subhash Camp, Ali Gaon, Near Old Iron Bridge.",294,18585,207,South East
41,Jal Vihar Railway Line Shiv Mandir Marg Lajpat Nagar,438,9700,155,South East
50,Jagdamba Camp Near SFS Sheikh Sarai,704,12000,191,New Delhi
52,"Mazdoor Kalyan Camp Plot No. A-7,8,12 & Back Lane of A-9 to A-17 Okhla Industrial Area Phase.I",171,5813,199,South
52,New Sanjay Camp Opposite E-44 Near Mohan Export  Okhla Industrial Area  Phase-I ,34,7131,199,South
52,New Sanjay Camp Opposite Plot No. B-47 & B-48 Along Railway Boundary Wall Okhla Industrial Area  Phase-I ,6,1299,199,South
52,New Sanjay Camp Opposite Plot No. A-27 & Back Lane of A-7 To A-35 Okhla Industrial Area Phase-I ,35,880,199,South
52,"New Sanjay Camp Opposite Plot No. B-90 - B-93 , B-94, B-102 & Back Lane of B-90 To B-102 Okhla Industrial Area Phase-I",372,1904,199,South
52,Majdoor Camp Block. B in Plot No. B-130 & 131 & Its Back Lane Okhla Industrial Area Phase-I ,202,2200,199,South
52,Majdoor Camp on Back Lane of C1 To C10 Okhla Industrial Area Phase-I ,117,2453,199,South
52,Majdoor Camp on Back Lane of C24 To C30 Okhla Industrial Area Phase-I ,21,1087,199,South
52,"Majdoor Camp Plot No.B-145, B-147, B-150 & Its Back Lane of B-143 To B-150 Okhla Industrial Area Phase-I",149,1440,199,South
52,Majdoor Camp B Block Plot No.B-122 & Back Lane of B-118 to B-123 Okhla Industrial Area Phase-I ,163,1344,199,South
52,Majdoor Camp on Back Lane on Road Berm Along Central Ware Housing & Steel Authority of India  Okhla Industrial Area Phase-I ,127,16752,199,South
52,Yog Shala Camp in Back Lane of D-120 to D-126 Okhla Industrial Area Phase-I ,54,741,199,South
52,Yog Shala Camp in Back Lane of D-153 to D-157 Okhla Industrial Area Phase-I ,50,700,199,South
52,Yog Shala Camp in Park Opposite D-42 Okhla Industrial Area Phase-I ,40,500,199,South
52,Yog Shala Camp in Back Lane of D-56 to D-60 Okhla Industrial Area Phase-I ,20,500,199,South
52,Yog Shala Camp in Park Near ESS Opposite D-159 Okhla Industrial Area Phase-I ,22,1312,199,South
52,Yog Shala Camp in Plot No. D-88/6 Okhla Industrial Area Phase-I ,26,150,199,South
52,At Janta Jeewan Camp Okhla Phase-II Between Plot C-52 & C-53 Okhla Industrial Area Phase-II ,300,2000,200,South
52,"Sanjay Colony Block.C-62/1, Okhla Industrial Area Phase-II ",29,625,200,South
52,"Sanjay Colony Near C-63/2 & Its Back Lane, Okhla Industrial Area Phase-II ",56,400,200,South
52,Sanjay Colony Plot No. A-112 & 113 Okhla Industrial Area Phase-II ,122,2000,200,South
52,Sanjay Colony Plot No. A-106 Okhla Industrial Area Phase-II ,65,1000,200,South
52,Sanjay Colony Plot No. A-108 Okhla Industrial Area Phase-II ,81,1000,200,South
52,Sanjay Colony Plot No. A-128 Okhla Industrial Area Phase-II ,44,1000,200,South
47,Janta Jeewan Camp Tigri Part-II,1755,30800,179,South
31,Near Shamshan Bhumi Hastsal,828,13920.05,123,West
42,JJC Jhuggie No.4 MCD Store Pant Nagar,20,600,157,South East
54,Noor Nagar Okhla Village (Pucca Structure),100,1600,206,South East
42,Back of Police Colony Andrews Ganj Part-II,186,1899,159,South East
42,JJC Prem Nagar Barapullah Road,150,2280,158,South East
42,JJC Rajiv Camp Siri Fort Road Sadiq Nagar,25,400,159,South East
36,Rangpuri Pharai Nalla,150,52167,144,South West
18,"JJC Near Ramlila Maidan, Azadpur",500,6108,71,North
18,JJC Block -38 Shakti Nagar,50,1331,69,North
42,JJC Tea Huts Near MCD Nursery Amar Colony Lajpat Nagar ,40,650,159,South East
52,JJC Rori Bajri Camp Badarpur,50,2850,199,South
52,JJC Lohar Basti T-Point red Light Lal Kuan,150,7178,197,South
52,Sonia Gandhi Camp Pul Prahlad Pur Railway Line Tuglka Bad Part-2 ,50,1721,198,South
52,JJC Sanjay Colony S-Block Near Delhi Jal Board Booster Pumping Station Okhla Industrial Area Ph-II,150,2000,200,South
52,JJC Janta Jeevan Camp in the back Lane of X-38 to X51 Okhla Industrial area Ph-II ,150,1449,200,South
56,JJ Cluster Gazipur adjoining NH24,650,17302,213,East
9,Khub Ram park Pem Nagar Kirari,350,18300,35,North West
45,jai Hind Camp near Masoodpur Village Vasant Kunj,1000,18400,172,South
