wardNo,wardIndex,ID,wardName,totalPopulation,countyCode,County Employed,Employed
134,133,1384,Kungsbacka,84395,13,128239,32418
135,134,1401,Härryda,37977,14,791970,17427
136,135,1402,Partille,39289,14,791970,18029
137,136,1407,Öckerö,12916,14,791970,5927
138,137,1415,Stenungsund,26777,14,791970,12287
139,138,1419,Tjörn,16016,14,791970,7349
140,139,1421,Orust,15218,14,791970,6983
141,140,1427,Sotenäs,9061,14,791970,4158
142,141,1430,Munkedal,10513,14,791970,4824
143,142,1435,Tanum,12841,14,791970,5892
144,143,1438,Dals-Ed,4813,14,791970,2209
145,144,1439,Färgelanda,6637,14,791970,3046
146,145,1440,Ale,31402,14,791970,14410
147,146,1441,Lerum,42568,14,791970,19534
148,147,1442,Vårgårda,11810,14,791970,5419
149,148,1443,Bollebygd,9495,14,791970,4357
150,149,1444,Grästorp,5693,14,791970,2612
151,150,1445,Essunga,5654,14,791970,2595
152,151,1446,Karlsborg,6940,14,791970,3185
153,152,1447,Gullspång,5280,14,791970,2423
154,153,1452,Tranemo,11936,14,791970,5477
155,154,1460,Bengtsfors,9750,14,791970,4474
156,155,1461,Mellerud,9310,14,791970,4272
157,156,1462,Lilla Edet,14109,14,791970,6474
158,157,1463,Mark,34754,14,791970,15948
159,158,1465,Svenljunga,10780,14,791970,4947
160,159,1466,Herrljunga,9464,14,791970,4343
161,160,1470,Vara,16024,14,791970,7353
162,161,1471,Götene,13207,14,791970,6060
163,162,1472,Tibro,11240,14,791970,5158
164,163,1473,Töreboda,9293,14,791970,4264
165,164,1480,Göteborg,579281,14,791970,265820
166,165,1481,Mölndal,69364,14,791970,31830
167,166,1482,Kungälv,46336,14,791970,21263
168,167,1484,Lysekil,14555,14,791970,6679
169,168,1485,Uddevalla,56703,14,791970,26020
170,169,1486,Strömstad,13218,14,791970,6065
171,170,1487,Vänersborg,39591,14,791970,18167
172,171,1488,Trollhättan,59058,14,791970,27100
173,172,1489,Alingsås,41420,14,791970,19007
174,173,1490,Borås,113179,14,791970,51935
