wardNo,wardIndex,ID,wardName,Households
204,203,1863,Hällefors,3580
205,204,1864,Ljusnarsberg,2501
206,205,1880,Örebro,73594
207,206,1881,Kumla,9645
208,207,1882,Askersund,5553
209,208,1883,Karlskoga,14866
210,209,1884,Nora,5054
211,210,1885,Lindesberg,11121
212,211,1904,Skinnskatteberg,2198
213,212,1907,Surahammar,4669
214,213,1960,Kungsör,3954
215,214,1961,Hallstahammar,7636
216,215,1962,Norberg,2825
217,216,1980,Västerås,70725
218,217,1981,Sala,10765
219,218,1982,Fagersta,6518
220,219,1983,Köping,12468
221,220,1984,Arboga,6816
222,221,2021,Vansbro,3390
223,222,2023,Malung-Sälen,4987
224,223,2026,Gagnef,4515
225,224,2029,Leksand,7460
226,225,2031,Rättvik,5509
227,226,2034,Orsa,3416
228,227,2039,Älvdalen,3400
229,228,2061,Smedjebacken,5296
230,229,2062,Mora,9858
231,230,2080,Falun,27719
232,231,2081,Borlänge,24287
233,232,2082,Säter,5172
234,233,2083,Hedemora,7587
235,234,2084,Avesta,11328
236,235,2085,Ludvika,13144
237,236,2101,Ockelbo,2962
238,237,2104,Hofors,4719
239,238,2121,Ovanåker,5648
240,239,2132,Nordanstig,4491
241,240,2161,Ljusdal,9207
242,241,2180,Gävle,48840
243,242,2181,Sandviken,18572
244,243,2182,Söderhamn,12698
245,244,2183,Bollnäs,13145
246,245,2184,Hudiksvall,18388
247,246,2260,Ånge,4721
248,247,2262,Timrå,8315
249,248,2280,Härnösand,12344
250,249,2281,Sundsvall,47542
251,250,2282,Kramfors,9224
252,251,2283,Sollefteå,9556
253,252,2284,Örnsköldsvik,25967
254,253,2303,Ragunda,2621
255,254,2305,Bräcke,3104
256,255,2309,Krokom,6444
257,256,2313,Strömsund,5872
258,257,2321,Åre,5325
259,258,2326,Berg,3376
260,259,2361,Härjedalen,5060
261,260,2380,Östersund,31582
262,261,2401,Nordmaling,3270
263,262,2403,Bjurholm,1112
264,263,2404,Vindeln,2538
265,264,2409,Robertsfors,3082
266,265,2417,Norsjö,1938
267,266,2418,Malå,1511
268,267,2421,Storuman,2908
269,268,2422,Sorsele,1239
270,269,2425,Dorotea,1335
271,270,2460,Vännäs,3957
272,271,2462,Vilhelmina,3293
273,272,2463,Åsele,1420
274,273,2480,Umeå,62143
275,274,2481,Lycksele,5874
276,275,2482,Skellefteå,34655
277,276,2505,Arvidsjaur,3204
278,277,2506,Arjeplog,1421
279,278,2510,Jokkmokk,2498
280,279,2513,Överkalix,1710
281,280,2514,Kalix,7899
282,281,2518,Övertorneå,2140
283,282,2521,Pajala,3012
284,283,2523,Gällivare,8878
285,284,2560,Älvsbyn,3941
286,285,2580,Luleå,38435
287,286,2581,Piteå,20302
288,287,2582,Boden,13797
289,288,2583,Haparanda,4854
290,289,2584,Kiruna,10932
