wardNo,wardIndex,ID,wardName,populationDensity,totalPopulation,area(sq km)
269,268,2422,Sorsele,0.3,2489,7366.62
270,269,2425,Dorotea,0.9,2551,2764.44
271,270,2460,Vännäs,16.8,8872,529.51
272,271,2462,Vilhelmina,0.8,6668,8047.19
273,272,2463,Åsele,0.7,2794,4223.45
274,273,2480,Umeå,55.6,128901,2316.68
275,274,2481,Lycksele,2.2,12245,5518.12
276,275,2482,Skellefteå,10.7,72589,6802.34
277,276,2505,Arvidsjaur,1.1,6220,5655.43
278,277,2506,Arjeplog,0.2,2785,12556.73
279,278,2510,Jokkmokk,0.3,4923,17600.84
280,279,2513,Överkalix,1.2,3315,2764.77
281,280,2514,Kalix,8.8,15886,1803.17
282,281,2518,Övertorneå,1.8,4299,2358.03
283,282,2521,Pajala,0.8,6052,7839.78
284,283,2523,Gällivare,1.1,17529,15691.33
285,284,2560,Älvsbyn,4.7,8066,1699.25
286,285,2580,Luleå,37.4,78105,2088.39
287,286,2581,Piteå,13.7,42281,3086.12
288,287,2582,Boden,7.0,28080,4013.89
289,288,2583,Haparanda,10.5,9685,920.89
290,289,2584,Kiruna,1.2,22867,19163.24
