wardIndex,wardNo,ntaCode,wardName,totalPopulation,area(sq km)
98,99,MN15,Clinton,45884.0,2.9652589184716494
99,100,MN17,Midtown-Midtown South,28630.0,4.874329239481023
100,101,MN19,Turtle Bay-East Midtown,51231.0,2.807303822085693
101,102,MN20,Murray Hill-Kips Bay,50742.0,2.337886715320444
102,103,MN21,Gramercy,27988.0,1.2145042350055022
103,104,MN22,East Village,44136.0,1.7573674156904877
104,105,MN23,West Village,66880.0,4.02868327186003
105,106,MN24,SoHo-TriBeCa-Civic Center-Little Italy,42742.0,4.037205097129788
106,107,MN25,Battery Park City-Lower Manhattan,39699.0,3.0653949797005624
107,108,MN27,Chinatown,47844.0,2.3384665562057125
108,109,MN28,Lower East Side,72957.0,3.7569179532333115
109,110,MN31,Lenox Hill-Roosevelt Island,80771.0,3.473454674214116
110,111,MN32,Yorkville,77942.0,2.19742887719978
111,112,MN33,East Harlem South,57902.0,2.690967117912192
112,113,MN34,East Harlem North,58019.0,3.9600212511202937
113,114,MN35,Washington Heights North,67136.0,3.67073244860729
114,115,MN36,Washington Heights South,84438.0,3.7379046451095634
115,116,MN40,Upper East Side-Carnegie Hill,61207.0,3.241335477410185
116,117,MN50,Stuyvesant Town-Cooper Village,21049.0,0.9005945079030225
117,118,MN99,park-cemetery-etc-Manhattan,1849.0,14.793731161506779
118,119,QN01,South Jamaica,38894.0,6.441473622515868
119,120,QN02,Springfield Gardens North,25409.0,4.578842282749753
120,121,QN03,Springfield Gardens South-Brookville,20132.0,6.969228890258669
121,122,QN05,Rosedale,25063.0,9.910964091196977
122,123,QN06,Jamaica Estates-Holliswood,25480.0,6.901030339469114
123,124,QN07,Hollis,20269.0,3.690157342668596
124,125,QN08,St. Albans,48593.0,12.473856176413902
125,126,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,28018.0,15.96532813418856
126,127,QN12,Hammels-Arverne-Edgemere,36885.0,9.944456876576625
127,128,QN15,Far Rockaway-Bayswater,50058.0,8.703934705505633
128,129,QN17,Forest Hills,83728.0,9.326488363198342
129,130,QN18,Rego Park,28260.0,3.2166660910046265
130,131,QN19,Glendale,32496.0,4.838521725920468
131,132,QN20,Ridgewood,69317.0,8.140249560665668
132,133,QN21,Middle Village,37929.0,9.302584859280724
133,134,QN22,Flushing,72008.0,6.114179655907121
134,135,QN23,College Point,24275.0,8.16795169092251
135,136,QN25,Corona,57658.0,3.240607108822459
136,137,QN26,North Corona,52037.0,2.9058949638869884
137,138,QN27,East Elmhurst,23150.0,3.1855791707178205
138,139,QN28,Jackson Heights,108152.0,7.7267277388312845
139,140,QN29,Elmhurst,88427.0,5.272756039339726
140,141,QN30,Maspeth,30516.0,5.747372022703034
141,142,QN31,Hunters Point-Sunnyside-West Maspeth,63271.0,16.52774379249049
142,143,QN33,Cambria Heights,18677.0,5.330313199518736
143,144,QN34,Queens Village,52504.0,11.21237978123069
144,145,QN35,Briarwood-Jamaica Hills,39138.0,4.724395413180237
145,146,QN37,Kew Gardens Hills,37479.0,6.111622276850739
146,147,QN38,Pomonok-Flushing Heights-Hillcrest,34034.0,6.2647821223273
147,148,QN41,Fresh Meadows-Utopia,17812.0,4.481353835873252
148,149,QN42,Oakland Gardens,28237.0,8.23212245238517
149,150,QN43,Bellerose,25287.0,8.903914644325944
150,151,QN44,Glen Oaks-Floral Park-New Hyde Park,22571.0,7.370636117155277
151,152,QN45,Douglas Manor-Douglaston-Little Neck,24739.0,11.04470414474087
152,153,QN46,Bayside-Bayside Hills,43808.0,13.047410081572039
153,154,QN47,Ft. Totten-Bay Terrace-Clearview,21751.0,7.479976489649522
154,155,QN48,Auburndale,19996.0,5.515026407365372
155,156,QN49,Whitestone,30773.0,11.158866685634722
156,157,QN50,Elmhurst-Maspeth,25521.0,3.5383070450487373
157,158,QN51,Murray Hill,51739.0,8.477269786184275
158,159,QN52,East Flushing,26982.0,4.754977175211774
159,160,QN53,Woodhaven,56674.0,5.961595570652507
160,161,QN54,Richmond Hill,62982.0,8.215194250348732
161,162,QN55,South Ozone Park,75878.0,13.281370933715412
162,163,QN56,Ozone Park,21376.0,4.029185747964836
163,164,QN57,Lindenwood-Howard Beach,26148.0,10.3923868733575
164,165,QN60,Kew Gardens,23278.0,3.3159249646881905
165,166,QN61,Jamaica,53751.0,7.625960642563556
166,167,QN62,Queensboro Hill,20800.0,4.286680012784315
167,168,QN63,Woodside,45099.0,4.559703573591785
168,169,QN66,Laurelton,24453.0,6.407777168111017
169,170,QN68,Queensbridge-Ravenswood-Long Island City,20030.0,3.7646641317840013
170,171,QN70,Astoria,78793.0,6.3516936722347435
171,172,QN71,Old Astoria,27814.0,2.5229325365809707
172,173,QN72,Steinway,47534.0,9.325467291611186
173,174,QN76,Baisley Park,34603.0,7.093501356518326
174,175,QN98,Airport,0.0,36.74140846450162
175,176,QN99,park-cemetery-etc-Queens,436.0,50.22136898989744
176,177,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,27770.0,22.61905192019737
177,178,SI05,New Springville-Bloomfield-Travis,39597.0,52.66414375148514
178,179,SI07,Westerleigh,24102.0,10.169707862052816
179,180,SI08,Grymes Hill-Clifton-Fox Hills,22460.0,6.069886644254452
180,181,SI11,Charleston-Richmond Valley-Tottenville,23313.0,23.356962509318347
181,182,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,31474.0,14.319081155546385
182,183,SI14,Grasmere-Arrochar-Ft. Wadsworth,16079.0,6.576575168805611
183,184,SI22,West New Brighton-New Brighton-St. George,33551.0,9.014281919079965
184,185,SI24,Todt Hill-Emersn Hill-Heartland Villg-Lighthse Hill,30714.0,29.69750114546266
185,186,SI25,Oakwood-Oakwood Beach,22049.0,8.982565431508819
186,187,SI28,Port Richmond,20191.0,5.857769861549137
187,188,SI32,Rossville-Woodrow,20763.0,10.42060294860649
188,189,SI35,New Brighton-Silver Lake,17525.0,7.581520103106541
189,190,SI36,Old Town-Dongan Hills-South Beach,24835.0,10.763795354813261
190,191,SI37,Stapleton-Rosebank,26453.0,7.465657963866162
191,192,SI45,New Dorp-Midland Beach,21896.0,8.89965053145804
192,193,SI48,Arden Heights,25238.0,8.089288794240593
193,194,SI54,Great Kills,40720.0,14.380031077699073
194,195,SI99,park-cemetery-etc-Staten Island,0.0,3.8513568459132044
