wardIndex,cityName,NAME3,wardName,wardNo,Unemployed,Employed,totalWorkforce
79,wuhan,XinZhouQu,XuGuZhen,80,359,22029,13819
80,wuhan,JiangAnQu,QiuChangJieBanShiChu,81,316,19419,12181
81,wuhan,HongShanQu,DongHuKaiFaQuJiuFengXiang,82,167,10265,6439
82,wuhan,HanNanQu,ShaMaoJieDaoBanShiChu,83,848,52050,32651
83,wuhan,JiangAnQu,ChenJiaJiJieBanShiChu,84,196,12034,7549
84,wuhan,DongXiHuQu,XinAnDuBanShiChu,85,151,9310,5840
85,wuhan,HongShanQu,QingLingXiang,86,1067,65474,41072
86,wuhan,XinZhouQu,XinZhouYuanZhongChang,87,5,367,230
87,wuhan,CaiDianQu,CaiDianJingJiKaiFaQuYaoJiaShanBanShiChu,88,109,6688,4195
88,wuhan,HongShanQu,WuHanHuaGongQuQingTanHuBanShiChu,89,86,5274,3308
89,wuhan,JiangXiaQu,DongHuKaiFaQuFoZuLingBanShiChu,90,1205,73913,46366
90,wuhan,JiangHanQu,TangJiaDunJieBanShiChu,91,1330,81599,51187
91,wuhan,DongXiHuQu,BaiQuanBanShiChu,92,113,6936,4351
92,wuhan,CaiDianQu,DunKouJieBanShiChu,93,2158,132319,83005
93,wuhan,XinZhouQu,SanDianJieDaoBanShiChu,94,784,48101,30174
94,wuhan,HongShanQu,GuanShanJieDao,95,4198,257395,161466
95,wuhan,XinZhouQu,YangLuoJieDaoBanShiChu,96,1805,110715,69453
96,wuhan,QiaoKouQu,BaoFengJieDaoBanShiChu,97,720,44195,27724
97,wuhan,HanNanQu,XiangKouJieDaoBanShiChu,98,184,11316,7098
98,wuhan,QingShanQu,WuDongJieDaoBanShiChu,99,293,17998,11290
99,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuCangLongDaoBanShiChu,100,1246,76437,47949
100,wuhan,HuangBeiQu,CaiDianXiang,101,369,22685,14230
101,wuhan,JiangAnQu,YiYuanJieBanShiChu,102,300,18446,11571
102,wuhan,WuChangQu,XuJiaPengJieBanShiChu,103,1527,93683,58768
103,wuhan,QiaoKouQu,HanShuiQiaoJieDaoBanShiChu,104,913,55996,35126
104,wuhan,HongShanQu,ShiZiShanJieDao,105,1326,81341,51026
105,wuhan,XinZhouQu,WangJiJieDaoBanShiChu,106,769,47169,29590
106,wuhan,HanYangQu,SiXinDiQuGuanWeiHui,107,30,1851,1161
107,wuhan,CaiDianQu,HongBeiGuanWeiHui,108,42,2612,1638
108,wuhan,CaiDianQu,CaiDianJingJiKaiFaQuDunKouBanShiChu,109,156,9576,6007
109,wuhan,HuangBeiQu,SanLiZhen,110,177,10890,6831
110,wuhan,XinZhouQu,LongWangJuNongChang,111,38,2387,1497
111,wuhan,DongXiHuQu,WuJiaShanJieDaoBanShiChu,112,1384,84895,53255
112,wuhan,QiaoKouQu,HanZhongJieDaoBanShiChu,113,376,23089,14484
113,wuhan,XinZhouQu,PanTangJieDaoBanShiChu,114,336,20609,12928
114,wuhan,JiangXiaQu,ShanPoXiang,115,372,22852,14335
115,wuhan,JiangAnQu,DaZhiJieBanShiChu,116,425,26069,16353
116,wuhan,HanYangQu,CuiWeiJieBanShiChu,117,545,33466,20993
117,wuhan,QingShanQu,GangDouHuaYuanGuanWeiHui,118,463,28432,17835
118,wuhan,HuangBeiQu,WuHuJieDao,119,402,24655,15466
119,wuhan,HongShanQu,DongHuKaiFaQuHuaShanZhen,120,297,18236,11440
120,wuhan,JiangHanQu,WanSongJieBanShiChu,121,1027,62970,39502
