wardIndex,cityName,NAME3,wardName,wardNo,area(sq km),totalPopulation
73,wuhan,JiangAnQu,YongQingJieBanShiChu,74,1.0033135171375136,21196
74,wuhan,QiaoKouQu,LiuJiaoTingJieDaoBanShiChu,75,1.003233738516998,52901
75,wuhan,JiangHanQu,HuaLouJieBanShiChu,76,0.46149100218512,10092
76,wuhan,HanYangQu,YongFengJieBanShiChu,77,45.12851901272675,121703
77,wuhan,HuangBeiQu,YaoJiaJiJieDao,78,137.84580614754134,38482
78,wuhan,HuangBeiQu,MuLanXiang,79,21.235581138981726,34333
79,wuhan,XinZhouQu,XuGuZhen,80,159.39098631360957,35508
80,wuhan,JiangAnQu,QiuChangJieBanShiChu,81,1.0032322908573068,29876
81,wuhan,HongShanQu,DongHuKaiFaQuJiuFengXiang,82,45.30854128801841,14317
82,wuhan,HanNanQu,ShaMaoJieDaoBanShiChu,83,82.2347833437172,81977
83,wuhan,JiangAnQu,ChenJiaJiJieBanShiChu,84,7.022774063701347,18512
84,wuhan,DongXiHuQu,XinAnDuBanShiChu,85,20.830236268255025,14424
85,wuhan,HongShanQu,QingLingXiang,86,69.85007515308521,91336
86,wuhan,XinZhouQu,XinZhouYuanZhongChang,87,67.73308452289929,592
87,wuhan,CaiDianQu,CaiDianJingJiKaiFaQuYaoJiaShanBanShiChu,88,35.664670986001326,10490
88,wuhan,HongShanQu,WuHanHuaGongQuQingTanHuBanShiChu,89,23.19248072191341,7358
89,wuhan,JiangXiaQu,DongHuKaiFaQuFoZuLingBanShiChu,90,14.097304224894344,107769
90,wuhan,JiangHanQu,TangJiaDunJieBanShiChu,91,6.915375055914725,122995
91,wuhan,DongXiHuQu,BaiQuanBanShiChu,92,56.000700549157344,10746
92,wuhan,CaiDianQu,DunKouJieBanShiChu,93,74.84425366874535,207531
93,wuhan,XinZhouQu,SanDianJieDaoBanShiChu,94,53.00970588272791,77529
94,wuhan,HongShanQu,GuanShanJieDao,95,30.120826108890967,358996
95,wuhan,XinZhouQu,YangLuoJieDaoBanShiChu,96,144.05648834711482,178481
96,wuhan,QiaoKouQu,BaoFengJieDaoBanShiChu,97,1.0032746061073463,64745
97,wuhan,HanNanQu,XiangKouJieDaoBanShiChu,98,25.995072256909786,17822
98,wuhan,QingShanQu,WuDongJieDaoBanShiChu,99,4.838739939604016,28864
99,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuCangLongDaoBanShiChu,100,26.091604068294806,111408
100,wuhan,HuangBeiQu,CaiDianXiang,101,191.37912327271943,37449
101,wuhan,JiangAnQu,YiYuanJieBanShiChu,102,1.0032668795698116,28376
102,wuhan,WuChangQu,XuJiaPengJieBanShiChu,103,3.787149631538037,141632
103,wuhan,QiaoKouQu,HanShuiQiaoJieDaoBanShiChu,104,1.972204758057281,82036
104,wuhan,HongShanQu,ShiZiShanJieDao,105,11.669632605591733,113443
105,wuhan,XinZhouQu,WangJiJieDaoBanShiChu,106,118.05308627216176,76006
106,wuhan,HanYangQu,SiXinDiQuGuanWeiHui,107,15.53402906711414,2813
107,wuhan,CaiDianQu,HongBeiGuanWeiHui,108,74.43401122463226,4097
108,wuhan,CaiDianQu,CaiDianJingJiKaiFaQuDunKouBanShiChu,109,11.480719162207052,15017
109,wuhan,HuangBeiQu,SanLiZhen,110,95.85728937101813,17980
110,wuhan,XinZhouQu,LongWangJuNongChang,111,123.9597535344237,3847
111,wuhan,DongXiHuQu,WuJiaShanJieDaoBanShiChu,112,9.839047244861561,131516
112,wuhan,QiaoKouQu,HanZhongJieDaoBanShiChu,113,0.8628398089566965,33828
113,wuhan,XinZhouQu,PanTangJieDaoBanShiChu,114,61.19426443038044,33213
114,wuhan,JiangXiaQu,ShanPoXiang,115,178.11462179061917,33315
115,wuhan,JiangAnQu,DaZhiJieBanShiChu,116,2.0065914501720794,40103
116,wuhan,HanYangQu,CuiWeiJieBanShiChu,117,1.003199677243071,50894
117,wuhan,QingShanQu,GangDouHuaYuanGuanWeiHui,118,0.8284413068393669,45625
118,wuhan,HuangBeiQu,WuHuJieDao,119,208.1602604158968,40724
119,wuhan,HongShanQu,DongHuKaiFaQuHuaShanZhen,120,10.020573036617282,25437
120,wuhan,JiangHanQu,WanSongJieBanShiChu,121,3.0099079707327725,94910
121,wuhan,HuangBeiQu,LiuZhiJieDao,122,83.71863216787325,71443
122,wuhan,HuangBeiQu,SheKouJieDao,123,142.77748952803162,49130
123,wuhan,CaiDianQu,ZhangWanJieBanShiChu,124,37.52575051945748,32773
124,wuhan,WuChangQu,LuoJiaShanJieBanShiChu,125,4.013207033119691,85867
125,wuhan,JiangAnQu,CheZhanJieBanShiChu,126,0.8885758747834469,28653
126,wuhan,DongXiHuQu,ChangQingHuaYuanXinQuGuanLiWeiYuanHui,127,36.11626999214551,63266
127,wuhan,HanYangQu,YueHuJieBanShiChu,128,0.7670550118802645,23938
128,wuhan,JiangHanQu,XinHuaJieBanShiChu,129,1.0032317010316876,46592
129,wuhan,DongXiHuQu,XinGouZhenJieDaoBanShiChu,130,44.43111604404962,20389
130,wuhan,JiangXiaQu,ZhengDianJieBanShiChu,131,62.42926621995564,42254
131,wuhan,JiangAnQu,ShangHaiJieBanShiChu,132,0.8981194814915681,29059
132,wuhan,JiangHanQu,MinZuJieBanShiChu,133,0.4361984288375704,44219
133,wuhan,DongXiHuQu,TaiShangGongYeYuanQuGuanLiWeiYuanHui,134,49.60988687634264,5114
134,wuhan,QiaoKouQu,ChangFengJieDaoBanShiChu,135,31.72841754076843,204762
135,wuhan,HuangBeiQu,LuoHanSiJieDao,136,133.03584401943843,56911
136,wuhan,HanNanQu,DongJingJieDaoBanShiChu,137,35.115996489198274,15959
137,wuhan,QingShanQu,ChangQianJieDaoBanShiChu,138,4.012825068262581,11385
