wardIndex,cityName,NAME3,wardName,wardNo,Households
90,wuhan,JiangHanQu,TangJiaDunJieBanShiChu,91,40326
91,wuhan,DongXiHuQu,BaiQuanBanShiChu,92,3523
92,wuhan,CaiDianQu,DunKouJieBanShiChu,93,68042
93,wuhan,XinZhouQu,SanDianJieDaoBanShiChu,94,25419
94,wuhan,HongShanQu,GuanShanJieDao,95,117703
95,wuhan,XinZhouQu,YangLuoJieDaoBanShiChu,96,58518
96,wuhan,QiaoKouQu,BaoFengJieDaoBanShiChu,97,21227
97,wuhan,HanNanQu,XiangKouJieDaoBanShiChu,98,5843
98,wuhan,QingShanQu,WuDongJieDaoBanShiChu,99,9463
99,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuCangLongDaoBanShiChu,100,36527
100,wuhan,HuangBeiQu,CaiDianXiang,101,12278
101,wuhan,JiangAnQu,YiYuanJieBanShiChu,102,9303
102,wuhan,WuChangQu,XuJiaPengJieBanShiChu,103,46436
103,wuhan,QiaoKouQu,HanShuiQiaoJieDaoBanShiChu,104,26897
104,wuhan,HongShanQu,ShiZiShanJieDao,105,37194
105,wuhan,XinZhouQu,WangJiJieDaoBanShiChu,106,24920
106,wuhan,HanYangQu,SiXinDiQuGuanWeiHui,107,922
107,wuhan,CaiDianQu,HongBeiGuanWeiHui,108,1343
108,wuhan,CaiDianQu,CaiDianJingJiKaiFaQuDunKouBanShiChu,109,4923
109,wuhan,HuangBeiQu,SanLiZhen,110,5895
110,wuhan,XinZhouQu,LongWangJuNongChang,111,1261
111,wuhan,DongXiHuQu,WuJiaShanJieDaoBanShiChu,112,43120
112,wuhan,QiaoKouQu,HanZhongJieDaoBanShiChu,113,11091
113,wuhan,XinZhouQu,PanTangJieDaoBanShiChu,114,10889
114,wuhan,JiangXiaQu,ShanPoXiang,115,10922
115,wuhan,JiangAnQu,DaZhiJieBanShiChu,116,13148
116,wuhan,HanYangQu,CuiWeiJieBanShiChu,117,16686
117,wuhan,QingShanQu,GangDouHuaYuanGuanWeiHui,118,14959
118,wuhan,HuangBeiQu,WuHuJieDao,119,13352
119,wuhan,HongShanQu,DongHuKaiFaQuHuaShanZhen,120,8340
120,wuhan,JiangHanQu,WanSongJieBanShiChu,121,31118
121,wuhan,HuangBeiQu,LiuZhiJieDao,122,23423
122,wuhan,HuangBeiQu,SheKouJieDao,123,16108
123,wuhan,CaiDianQu,ZhangWanJieBanShiChu,124,10745
124,wuhan,WuChangQu,LuoJiaShanJieBanShiChu,125,28153
125,wuhan,JiangAnQu,CheZhanJieBanShiChu,126,9394
126,wuhan,DongXiHuQu,ChangQingHuaYuanXinQuGuanLiWeiYuanHui,127,20742
127,wuhan,HanYangQu,YueHuJieBanShiChu,128,7848
128,wuhan,JiangHanQu,XinHuaJieBanShiChu,129,15276
129,wuhan,DongXiHuQu,XinGouZhenJieDaoBanShiChu,130,6684
130,wuhan,JiangXiaQu,ZhengDianJieBanShiChu,131,13853
131,wuhan,JiangAnQu,ShangHaiJieBanShiChu,132,9527
132,wuhan,JiangHanQu,MinZuJieBanShiChu,133,14498
133,wuhan,DongXiHuQu,TaiShangGongYeYuanQuGuanLiWeiYuanHui,134,1676
134,wuhan,QiaoKouQu,ChangFengJieDaoBanShiChu,135,67135
135,wuhan,HuangBeiQu,LuoHanSiJieDao,136,18659
136,wuhan,HanNanQu,DongJingJieDaoBanShiChu,137,5232
137,wuhan,QingShanQu,ChangQianJieDaoBanShiChu,138,3732
138,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuLiangZiHuFengJingQuBanShiChu,139,1416
139,wuhan,HongShanQu,DongHuFengJingQuJieDao(HongShan),140,19902
140,wuhan,JiangHanQu,ChangQingJieBanShiChu,141,32558
141,wuhan,CaiDianQu,ZhaShanJieBanShiChu,142,17240
142,wuhan,HongShanQu,ZhangJiaWanJieDao,143,10128
143,wuhan,WuChangQu,JiYuQiaoJieBanShiChu,144,22605
144,wuhan,QingShanQu,BeiHuGuanWeiHui,145,2318
145,wuhan,HanYangQu,ZhouTouJieBanShiChu,146,14572
146,wuhan,JiangXiaQu,WuLongQuanJieBanShiChu,147,11817
147,wuhan,CaiDianQu,YuXianZhen,148,5777
148,wuhan,XinZhouQu,DaoGuanHeFengJingLvYouGuanLiChu,149,1792
149,wuhan,QiaoKouQu,YiJiaDunJieDaoBanShiChu,150,32462
150,wuhan,WuChangQu,BaiShaZhouJieBanShiChu,151,28564
151,wuhan,CaiDianQu,TongHuBanShiChu,152,867
152,wuhan,QingShanQu,YeJinJieDaoBanShiChu,153,29561
153,wuhan,JiangXiaQu,DongHuKaiFaQuDaWuChenBanShiChu,154,4520
154,wuhan,CaiDianQu,CaiDianJieBanShiChu,155,54763
155,wuhan,HongShanQu,WuHanHuaGongQuJianSheXiang,156,11169
156,wuhan,CaiDianQu,DaJiJieBanShiChu,157,11066
157,wuhan,QiaoKouQu,ChongRenJieDaoBanShiChu,158,13500
158,wuhan,QiaoKouQu,ZongGuanJieDaoBanShiChu,159,24226
159,wuhan,HuangBeiQu,WangJiaHeJieDao,160,16945
160,wuhan,HanYangQu,WuLiDunJieBanShiChu,161,32731
161,wuhan,WuChangQu,DongHuFengJingQuJieDao(WuChang),162,5445
162,wuhan,JiangHanQu,BeiHuJieBanShiChu,163,14153
163,wuhan,QiaoKouQu,HanJiaDunJieDaoBanShiChu,164,35352
164,wuhan,JiangAnQu,XinCunJieBanShiChu,165,25825
165,wuhan,HuangBeiQu,ChangXuanLingJieDao,166,12051
166,wuhan,WuChangQu,HuangHeLouJieBanShiChu,167,22824
167,wuhan,HuangBeiQu,CaiJiaZhaJieDao,168,9828
168,wuhan,QingShanQu,HongWeiLuJieDaoBanShiChu,169,30854
169,wuhan,JiangHanQu,MinQuanJieBanShiChu,170,13635
170,wuhan,DongXiHuQu,JingHeJieDaoBanShiChu,171,13841
171,wuhan,WuChangQu,YangYuanJieBanShiChu,172,41028
172,wuhan,JiangXiaQu,JinShuiBanShiChu,173,2037
173,wuhan,JiangXiaQu,WuLiJieJieBanShiChu,174,9658
174,wuhan,QingShanQu,QingShanZhenJieDaoBanShiChu,175,7791
175,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuMiaoShanBanShiChu,176,20205
176,wuhan,JiangAnQu,HuaQiaoJieBanShiChu,177,49176
177,wuhan,WuChangQu,ShouYiLuJieBanShiChu,178,26067
178,wuhan,QingShanQu,HongGangChengJieDaoBanShiChu,179,14237
179,wuhan,JiangXiaQu,JiangXiaJingJiKaiFaQuDaQiaoXinQuBanShiChu,180,24765
180,wuhan,HuangBeiQu,HengDianJieDao,181,19856
181,wuhan,HuangBeiQu,DaTanBanShiChu,182,1232
182,wuhan,DongXiHuQu,JinYinHuJieDaoBanShiChu,183,22068
183,wuhan,XinZhouQu,CangBuJieDaoBanShiChu,184,25293
184,wuhan,HuangBeiQu,PanLongChengJingJiKaiFaQu,185,22187
185,wuhan,JiangAnQu,TaiBeiJieBanShiChu,186,14439
