trainLine,stationName,stationCode,isFastStop,isTerminal,isSlowFastInterchange,isLineInterchange,slowTimeFromPreviousStation,latitude,longitude,s2_cell,geojson
central,byculla,BY,1,0,1,0,3,18.976389,72.832778,4316645610850615296,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.965418], [72.851548, 18.967661], [72.851548, 18.990644], [72.827915, 18.988398], [72.827915, 18.965418]]]}, ""properties"": {""cell"": 4316645610850615296}}"
central,chinchpokli,CHP,0,0,0,0,2,18.9875,72.832778,4316645610850615296,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.965418], [72.851548, 18.967661], [72.851548, 18.990644], [72.827915, 18.988398], [72.827915, 18.965418]]]}, ""properties"": {""cell"": 4316645610850615296}}"
central,currey road,CRD,0,0,0,0,2,18.994,72.833,4316646298045382656,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.988398], [72.851548, 18.990644], [72.851548, 19.013628], [72.827915, 19.011381], [72.827915, 18.988398]]]}, ""properties"": {""cell"": 4316646298045382656}}"
central,parel,PR,0,0,0,0,3,19.007533,72.835976,4316646298045382656,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 18.988398], [72.851548, 18.990644], [72.851548, 19.013628], [72.827915, 19.011381], [72.827915, 18.988398]]]}, ""properties"": {""cell"": 4316646298045382656}}"
central,dadar,DR,1,1,1,1,3,19.0184,72.8432,4316646160606429184,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 19.011381], [72.851548, 19.013628], [72.851548, 19.036614], [72.827915, 19.034364], [72.827915, 19.011381]]]}, ""properties"": {""cell"": 4316646160606429184}}"
central,matunga,MTN,0,0,0,0,3,19.027414,72.850163,4316646160606429184,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.827915, 19.011381], [72.851548, 19.013628], [72.851548, 19.036614], [72.827915, 19.034364], [72.827915, 19.011381]]]}, ""properties"": {""cell"": 4316646160606429184}}"
central,sion,SIN,0,0,0,0,4,19.04,72.86,4316639563536662528,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.851548, 19.036614], [72.875179, 19.038861], [72.875179, 19.061851], [72.851548, 19.059602], [72.851548, 19.036614]]]}, ""properties"": {""cell"": 4316639563536662528}}"
central,kurla,C,1,1,1,1,4,19.0656,72.8791,4316639288658755584,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.875179, 19.061851], [72.898807, 19.064096], [72.898807, 19.08709], [72.875179, 19.084842], [72.875179, 19.061851]]]}, ""properties"": {""cell"": 4316639288658755584}}"
central,vidyavihar,VVH,0,0,0,0,3,19.079444,72.897222,4316639288658755584,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.875179, 19.061851], [72.898807, 19.064096], [72.898807, 19.08709], [72.875179, 19.084842], [72.875179, 19.061851]]]}, ""properties"": {""cell"": 4316639288658755584}}"
central,ghatkopar,G,1,0,1,0,3,19.0857,72.9081,4316636677318639616,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.898807, 19.064096], [72.922433, 19.066339], [72.922433, 19.089334], [72.898807, 19.08709], [72.898807, 19.064096]]]}, ""properties"": {""cell"": 4316636677318639616}}"
central,vikhroli,VK,0,0,0,0,5,19.11,72.92,4316638464025034752,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.898807, 19.08709], [72.922433, 19.089334], [72.922433, 19.112331], [72.898807, 19.110084], [72.898807, 19.08709]]]}, ""properties"": {""cell"": 4316638464025034752}}"
central,kanjur marg,KJMG,0,0,0,0,3,19.1283,72.9275,4316638189147127808,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.922433, 19.112331], [72.946057, 19.114575], [72.946057, 19.137576], [72.922433, 19.13533], [72.922433, 19.112331]]]}, ""properties"": {""cell"": 4316638189147127808}}"
central,bhandup,BND,0,0,0,0,3,19.14,72.93,4316621559033757696,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.922433, 19.13533], [72.946057, 19.137576], [72.946057, 19.160578], [72.922433, 19.15833], [72.922433, 19.13533]]]}, ""properties"": {""cell"": 4316621559033757696}}"
central,nahur,NHU,0,0,0,0,3,19.1546,72.9466,4316621696472711168,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.946057, 19.137576], [72.969678, 19.139819], [72.969678, 19.162823], [72.946057, 19.160578], [72.946057, 19.137576]]]}, ""properties"": {""cell"": 4316621696472711168}}"
central,mulund,MLND,0,0,0,0,3,19.17,72.952,4316622108789571584,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.946057, 19.160578], [72.969678, 19.162823], [72.969678, 19.185829], [72.946057, 19.183581], [72.946057, 19.160578]]]}, ""properties"": {""cell"": 4316622108789571584}}"
central,thane,T,1,1,1,1,4,19.186111,72.975833,4316621971350618112,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.969678, 19.162823], [72.993297, 19.165065], [72.993297, 19.188073], [72.969678, 19.185829], [72.969678, 19.162823]]]}, ""properties"": {""cell"": 4316621971350618112}}"
central,kalwa,KLVA,0,0,0,0,4,19.19606,72.997574,4316628568420384768,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[72.993297, 19.188073], [73.016914, 19.190313], [73.016914, 19.213325], [72.993297, 19.211082], [72.993297, 19.188073]]]}, ""properties"": {""cell"": 4316628568420384768}}"
central,mumbra,MBQ,0,0,0,0,6,19.176667,73.02222,4316628843298291712,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.016914, 19.167303], [73.040528, 19.169538], [73.040528, 19.192551], [73.016914, 19.190313], [73.016914, 19.167303]]]}, ""properties"": {""cell"": 4316628843298291712}}"
central,diva,DIVA,0,1,0,0,4,19.188993,73.043268,4316629530493059072,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.040528, 19.169538], [73.06414, 19.17177], [73.06414, 19.194785], [73.040528, 19.192551], [73.040528, 19.169538]]]}, ""properties"": {""cell"": 4316629530493059072}}"
central,kopar,KOPR,0,0,0,0,5,19.211237,73.077613,4316627881225617408,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.06414, 19.194785], [73.087749, 19.197015], [73.087749, 19.220034], [73.06414, 19.217801], [73.06414, 19.194785]]]}, ""properties"": {""cell"": 4316627881225617408}}"
central,dombivli,DI,1,1,1,0,4,19.218433,73.086718,4316627881225617408,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.06414, 19.194785], [73.087749, 19.197015], [73.087749, 19.220034], [73.06414, 19.217801], [73.06414, 19.194785]]]}, ""properties"": {""cell"": 4316627881225617408}}"
central,thakurli,THK,0,0,0,0,3,19.225507,73.09673,4316583625882599424,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.087749, 19.220034], [73.111356, 19.222263], [73.111356, 19.245285], [73.087749, 19.243053], [73.087749, 19.220034]]]}, ""properties"": {""cell"": 4316583625882599424}}"
central,kalyan,KYN,1,1,1,0,6,19.23525,73.1305,4316583488443645952,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.111356, 19.222263], [73.134961, 19.22449], [73.134961, 19.247514], [73.111356, 19.245285], [73.111356, 19.222263]]]}, ""properties"": {""cell"": 4316583488443645952}}"
central,shahad,SHAD,0,0,0,0,5,19.243889,73.166389,4316581564298297344,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.158563, 19.226713], [73.182162, 19.228933], [73.182162, 19.251961], [73.158563, 19.249739], [73.158563, 19.226713]]]}, ""properties"": {""cell"": 4316581564298297344}}"
central,ambivli,ABY,0,0,0,0,3,19.265133,73.172373,4316584450516320256,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.158563, 19.249739], [73.182162, 19.251961], [73.182162, 19.274991], [73.158563, 19.272767], [73.158563, 19.249739]]]}, ""properties"": {""cell"": 4316584450516320256}}"
central,titwala,TL,0,1,0,0,4,19.295752,73.202934,4316578403202367488,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.182162, 19.274991], [73.205759, 19.277212], [73.205759, 19.300246], [73.182162, 19.298022], [73.182162, 19.274991]]]}, ""properties"": {""cell"": 4316578403202367488}}"
central,khadavali,KDV,0,0,0,0,8,19.356749,73.218879,4316588573684924416,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.205759, 19.346316], [73.229354, 19.348541], [73.229354, 19.37158], [73.205759, 19.369354], [73.205759, 19.346316]]]}, ""properties"": {""cell"": 4316588573684924416}}"
central,vasind,VSD,0,0,0,0,8,19.406725,73.267704,4316589398318645248,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.252946, 19.396847], [73.276536, 19.399069], [73.276536, 19.422115], [73.252946, 19.419891], [73.252946, 19.396847]]]}, ""properties"": {""cell"": 4316589398318645248}}"
central,asangaon,AN,0,1,0,0,7,19.440856,73.303083,4316564521868066816,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.300123, 19.424336], [73.323708, 19.426554], [73.323708, 19.449606], [73.300123, 19.447386], [73.300123, 19.424336]]]}, ""properties"": {""cell"": 4316564521868066816}}"
central,atgaon,ATG,0,0,0,0,9,19.503114,73.328625,4316562047966904320,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.323708, 19.495714], [73.34729, 19.497935], [73.34729, 19.520992], [73.323708, 19.518769], [73.323708, 19.495714]]]}, ""properties"": {""cell"": 4316562047966904320}}"
central,thansit,THS,0,0,0,0,6,19.55045,73.352187,,
central,khardi,KE,0,0,0,0,4,19.580529,73.394186,4316558611993067520,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.37087, 19.569336], [73.394447, 19.571557], [73.394447, 19.594623], [73.37087, 19.5924], [73.37087, 19.569336]]]}, ""properties"": {""cell"": 4316558611993067520}}"
central,umbermalli,OMB,0,0,0,0,7,19.628339,73.422952,4316557787359346688,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.418021, 19.619911], [73.441593, 19.62213], [73.441593, 19.645202], [73.418021, 19.642982], [73.418021, 19.619911]]]}, ""properties"": {""cell"": 4316557787359346688}}"
central,kasara,N,0,1,0,0,9,19.648333,73.473056,4313752795757936640,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.465162, 19.647419], [73.488729, 19.649633], [73.488729, 19.672711], [73.465162, 19.670495], [73.465162, 19.647419]]]}, ""properties"": {""cell"": 4313752795757936640}}"
central,vithalwadi,VLDI,0,0,0,0,5,19.228793,73.14861,4316581701737250816,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.134961, 19.22449], [73.158563, 19.226713], [73.158563, 19.249739], [73.134961, 19.247514], [73.134961, 19.22449]]]}, ""properties"": {""cell"": 4316581701737250816}}"
central,ulhasnagar,ULNR,0,0,0,0,3,19.22,73.15,4316581839176204288,"{""type"": ""Feature"", ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[73.134961, 19.201467], [73.158563, 19.203688], [73.158563, 19.226713], [73.134961, 19.22449], [73.134961, 19.201467]]]}, ""properties"": {""cell"": 4316581839176204288}}"
